"job_id","title_vi","description_vi","skills_vi","riasec_centroid_json","tags_vi"
"11-3013.00","Người quản lý cơ sở","Kế hoạch, trực tiếp hoặc phối hợp các hoạt động và chức năng của các cơ sở và tòa nhà. Có thể bao gồm các sân xung quanh hoặc nhiều cơ sở của khuôn viên của tổ chức.","lắng nghe tích cực|phối hợp|tư duy phản biện|phán đoán & ra quyết định|quản lý nguồn nhân lực|giám sát|đàm phán|đọc hiểu|nhạy bén xã hội|giao tiếp nói|quản lý thời gian|viết","[0.5614285714285715, 0.36, 0.23428571428571426, 0.5128571428571428, 0.7914285714285715, 0.7728571428571429]","Quản lý|lắng nghe tích cực|phối hợp|tư duy phản biện|phán đoán & ra quyết định|quản lý nguồn nhân lực|giám sát|đàm phán|đọc hiểu|nhạy bén xã hội|giao tiếp nói|quản lý thời gian|viết"
"11-3013.01","Người quản lý an ninh","Quản lý các chức năng an ninh của tổ chức, bao gồm an ninh thể chất và an toàn của nhân viên và cơ sở.","lắng nghe tích cực|giải quyết vấn đề phức tạp|phối hợp|tư duy phản biện|phán đoán & ra quyết định|giám sát|đọc hiểu|nhạy bén xã hội|giao tiếp nói|viết","[0.4857142857142857, 0.53, 0.1842857142857143, 0.39285714285714285, 0.7999999999999999, 0.7699999999999999]","Quản lý|lắng nghe tích cực|giải quyết vấn đề phức tạp|phối hợp|tư duy phản biện|phán đoán & ra quyết định|giám sát|đọc hiểu|nhạy bén xã hội|giao tiếp nói|viết"
"11-3021.00","Người quản lý hệ thống máy tính và thông tin","Kế hoạch, trực tiếp hoặc phối hợp các hoạt động trong các lĩnh vực như xử lý dữ liệu điện tử, hệ thống thông tin, phân tích hệ thống và lập trình máy tính.","học chủ động|lắng nghe tích cực|giải quyết vấn đề phức tạp|phối hợp|tư duy phản biện|hướng dẫn|phán đoán & ra quyết định|giám sát|đọc hiểu|nhạy bén xã hội|giao tiếp nói|đánh giá hệ thống|viết","[0.3657142857142857, 0.6314285714285715, 0.21428571428571427, 0.3442857142857143, 0.7271428571428571, 0.8171428571428571]","Quản lý|học chủ động|lắng nghe tích cực|giải quyết vấn đề phức tạp|phối hợp|tư duy phản biện|hướng dẫn|phán đoán & ra quyết định|giám sát|đọc hiểu|nhạy bén xã hội|giao tiếp nói|đánh giá hệ thống|viết"
"11-3031.00","Quản lý tài chính","Kế hoạch, trực tiếp hoặc phối hợp kế toán, đầu tư, ngân hàng, bảo hiểm, chứng khoán và các hoạt động tài chính khác của một chi nhánh, văn phòng hoặc bộ phận của một cơ sở.","học chủ động|lắng nghe tích cực|giải quyết vấn đề phức tạp|phối hợp|tư duy phản biện|phán đoán & ra quyết định|quản lý nguồn nhân lực|giám sát|đàm phán|thuyết phục|đọc hiểu|nhạy bén xã hội|giao tiếp nói|quản lý thời gian|viết","[0.1742857142857143, 0.35000000000000003, 0.22, 0.4185714285714286, 1.0, 0.8142857142857143]","Quản lý|học chủ động|lắng nghe tích cực|giải quyết vấn đề phức tạp|phối hợp|tư duy phản biện|phán đoán & ra quyết định|quản lý nguồn nhân lực|giám sát|đàm phán|thuyết phục|đọc hiểu|nhạy bén xã hội|giao tiếp nói|quản lý thời gian|viết"
"11-3031.01","Các nhà tài chính và giám sát viên","Các hoạt động tài chính trực tiếp, chẳng hạn như lập kế hoạch, mua sắm và đầu tư cho toàn bộ hoặc một phần của một tổ chức.","học chủ động|lắng nghe tích cực|giải quyết vấn đề phức tạp|tư duy phản biện|phán đoán & ra quyết định|quản lý nguồn lực tài chính|toán học|giám sát|đọc hiểu|giao tiếp nói|phân tích hệ thống|đánh giá hệ thống|quản lý thời gian|viết","[0.14285714285714285, 0.34285714285714286, 0.18285714285714286, 0.38571428571428573, 0.8885714285714286, 0.8785714285714287]","Quản lý|học chủ động|lắng nghe tích cực|giải quyết vấn đề phức tạp|tư duy phản biện|phán đoán & ra quyết định|quản lý nguồn lực tài chính|toán học|giám sát|đọc hiểu|giao tiếp nói|phân tích hệ thống|đánh giá hệ thống|quản lý thời gian|viết"
"11-3031.03","Các nhà quản lý quỹ đầu tư","Kế hoạch, trực tiếp hoặc phối hợp chiến lược hoặc hoạt động đầu tư cho một nhóm lớn các tài sản thanh khoản được cung cấp bởi các nhà đầu tư tổ chức hoặc các đầu tư cá nhân.","học chủ động|lắng nghe tích cực|giải quyết vấn đề phức tạp|tư duy phản biện|phán đoán & ra quyết định|giám sát|đọc hiểu|giao tiếp nói|phân tích hệ thống|đánh giá hệ thống|quản lý thời gian|viết","[0.23714285714285713, 0.53, 0.21, 0.3657142857142857, 0.9671428571428571, 0.75]","Quản lý|học chủ động|lắng nghe tích cực|giải quyết vấn đề phức tạp|tư duy phản biện|phán đoán & ra quyết định|giám sát|đọc hiểu|giao tiếp nói|phân tích hệ thống|đánh giá hệ thống|quản lý thời gian|viết"
"11-3051.00","Người quản lý sản xuất công nghiệp","Kế hoạch, chỉ đạo hoặc phối hợp các hoạt động và nguồn lực làm việc cần thiết để sản xuất sản phẩm theo chi phí, chất lượng và số lượng.","học chủ động|lắng nghe tích cực|phối hợp|tư duy phản biện|phán đoán & ra quyết định|chiến lược học tập|quản lý nguồn lực tài chính|quản lý nguồn lực vật chất|quản lý nguồn nhân lực|giám sát|đọc hiểu|giao tiếp nói|quản lý thời gian|viết","[0.6042857142857143, 0.42, 0.19, 0.26142857142857145, 0.8457142857142858, 0.7557142857142857]","Quản lý|học chủ động|lắng nghe tích cực|phối hợp|tư duy phản biện|phán đoán & ra quyết định|chiến lược học tập|quản lý nguồn lực tài chính|quản lý nguồn lực vật chất|quản lý nguồn nhân lực|giám sát|đọc hiểu|giao tiếp nói|quản lý thời gian|viết"
"11-3051.01","Người quản lý hệ thống kiểm soát chất lượng","Lập kế hoạch, chỉ đạo hoặc phối hợp các chương trình đảm bảo chất lượng. Xác định các chính sách kiểm soát chất lượng và kiểm soát phẩm chất của các nỗ lực phòng thí nghiệm và sản xuất.","học chủ động|lắng nghe tích cực|giải quyết vấn đề phức tạp|phối hợp|tư duy phản biện|phán đoán & ra quyết định|giám sát|phân tích kiểm soát chất lượng|đọc hiểu|giao tiếp nói|phân tích hệ thống|đánh giá hệ thống|viết","[0.5142857142857143, 0.5742857142857142, 0.16714285714285712, 0.2957142857142857, 0.7214285714285714, 0.8142857142857143]","Quản lý|học chủ động|lắng nghe tích cực|giải quyết vấn đề phức tạp|phối hợp|tư duy phản biện|phán đoán & ra quyết định|giám sát|phân tích kiểm soát chất lượng|đọc hiểu|giao tiếp nói|phân tích hệ thống|đánh giá hệ thống|viết"
"11-3051.02","Các nhà quản lý sản xuất nhiệt địa","Quản lý các hoạt động tại các cơ sở sản xuất điện địa nhiệt, duy trì và giám sát thiết bị nhà máy địa nhiệt để hoạt động hiệu quả và an toàn.","lắng nghe tích cực|phối hợp|tư duy phản biện|phán đoán & ra quyết định|quản lý nguồn lực tài chính|quản lý nguồn nhân lực|toán học|giám sát|đọc hiểu|nhạy bén xã hội|giao tiếp nói|đánh giá hệ thống|quản lý thời gian|viết","[0.7642857142857142, 0.4785714285714286, 0.14285714285714285, 0.2957142857142857, 0.6542857142857142, 0.6885714285714286]","Quản lý|lắng nghe tích cực|phối hợp|tư duy phản biện|phán đoán & ra quyết định|quản lý nguồn lực tài chính|quản lý nguồn nhân lực|toán học|giám sát|đọc hiểu|nhạy bén xã hội|giao tiếp nói|đánh giá hệ thống|quản lý thời gian|viết"
"11-3051.03","Quản lý sản xuất nhiên liệu sinh học","Quản lý sản xuất nhiên liệu sinh học và hoạt động của nhà máy Thu thập và xử lý thông tin về sản xuất và hiệu suất nhà máy, chẩn đoán các vấn đề và thiết kế các thủ tục khắc phục.","học chủ động|lắng nghe tích cực|giải quyết vấn đề phức tạp|phối hợp|tư duy phản biện|hướng dẫn|phán đoán & ra quyết định|quản lý nguồn nhân lực|giám sát|đọc hiểu|nhạy bén xã hội|giao tiếp nói|quản lý thời gian","[0.6557142857142857, 0.5342857142857144, 0.14285714285714285, 0.26142857142857145, 0.7728571428571429, 0.7228571428571428]","Quản lý|học chủ động|lắng nghe tích cực|giải quyết vấn đề phức tạp|phối hợp|tư duy phản biện|hướng dẫn|phán đoán & ra quyết định|quản lý nguồn nhân lực|giám sát|đọc hiểu|nhạy bén xã hội|giao tiếp nói|quản lý thời gian"
"11-3051.04","Người quản lý nhà máy điện sinh khối","Quản lý hoạt động tại các cơ sở sản xuất năng lượng bằng sinh khối. Các hoạt động làm việc trực tiếp tại nhà máy, bao gồm giám sát hoạt động và nhân viên bảo trì.","lắng nghe tích cực|giải quyết vấn đề phức tạp|phối hợp|tư duy phản biện|phán đoán & ra quyết định|quản lý nguồn nhân lực|giám sát|giám sát vận hành|đọc hiểu|giao tiếp nói|phân tích hệ thống|viết","[0.7314285714285714, 0.4557142857142857, 0.14285714285714285, 0.24571428571428572, 0.6942857142857143, 0.7628571428571428]","Quản lý|lắng nghe tích cực|giải quyết vấn đề phức tạp|phối hợp|tư duy phản biện|phán đoán & ra quyết định|quản lý nguồn nhân lực|giám sát|giám sát vận hành|đọc hiểu|giao tiếp nói|phân tích hệ thống|viết"
"11-3051.06","Người quản lý sản xuất thủy điện","Quản lý hoạt động tại các cơ sở sản xuất điện thủy điện, duy trì và giám sát thiết bị nhà máy thủy điện để hoạt động hiệu quả và an toàn.","lắng nghe tích cực|giải quyết vấn đề phức tạp|phối hợp|tư duy phản biện|hướng dẫn|phán đoán & ra quyết định|chiến lược học tập|quản lý nguồn nhân lực|giám sát|đọc hiểu|giao tiếp nói|quản lý thời gian|viết","[0.7671428571428571, 0.52, 0.14285714285714285, 0.26142857142857145, 0.6528571428571429, 0.7171428571428571]","Quản lý|lắng nghe tích cực|giải quyết vấn đề phức tạp|phối hợp|tư duy phản biện|hướng dẫn|phán đoán & ra quyết định|chiến lược học tập|quản lý nguồn nhân lực|giám sát|đọc hiểu|giao tiếp nói|quản lý thời gian|viết"
"11-3061.00","Người quản lý mua hàng","Kế hoạch, chỉ đạo hoặc phối hợp các hoạt động của người mua, nhân viên mua hàng và các nhân viên liên quan tham gia mua vật liệu, sản phẩm và dịch vụ. Bao gồm các nhà quản lý thương mại bán hàng bán lẻ hoặc bán lẻ và các quản lý giao dịch.","lắng nghe tích cực|phối hợp|tư duy phản biện|quản lý nguồn nhân lực|giám sát|đàm phán|thuyết phục|đọc hiểu|nhạy bén xã hội|giao tiếp nói|quản lý thời gian|viết","[0.2914285714285714, 0.2871428571428571, 0.19999999999999998, 0.39571428571428574, 1.0, 0.7928571428571428]","Quản lý|lắng nghe tích cực|phối hợp|tư duy phản biện|quản lý nguồn nhân lực|giám sát|đàm phán|thuyết phục|đọc hiểu|nhạy bén xã hội|giao tiếp nói|quản lý thời gian|viết"
"11-3071.00","Người quản lý vận tải, lưu trữ và phân phối","Kế hoạch, trực tiếp hoặc phối hợp các hoạt động vận chuyển, lưu trữ hoặc phân phối phù hợp với chính sách tổ chức và luật pháp hoặc quy định của chính phủ áp dụng.","học chủ động|lắng nghe tích cực|phối hợp|tư duy phản biện|giám sát|đàm phán|thuyết phục|đọc hiểu|giao tiếp nói|quản lý thời gian|viết","[0.5142857142857143, 0.37714285714285717, 0.14285714285714285, 0.34142857142857147, 0.8571428571428571, 0.8200000000000001]","Quản lý|học chủ động|lắng nghe tích cực|phối hợp|tư duy phản biện|giám sát|đàm phán|thuyết phục|đọc hiểu|giao tiếp nói|quản lý thời gian|viết"
"11-3071.04","Các nhà quản lý chuỗi cung ứng","Quản xuất trực tiếp hoặc phối hợp các dịch vụ hoặc hoạt động dự báo sản xuất, mua hàng, lưu trữ, phân phối hoặc dự báo tài chính để hạn chế chi phí và cải thiện độ chính xác, dịch vụ khách hàng hoặc an toàn. Xem xét các thủ tục hoặc cơ hội hiện có để hợp lý hóa các hoạt động để đáp ứng nhu cầu phân phối sản phẩm. Quản lý vận chuyển, lưu trữ hoặc xử lý hàng tồn kho.","lắng nghe tích cực|giải quyết vấn đề phức tạp|phối hợp|tư duy phản biện|phán đoán & ra quyết định|giám sát|đọc hiểu|nhạy bén xã hội|giao tiếp nói|quản lý thời gian|viết","[0.48857142857142855, 0.36428571428571427, 0.14285714285714285, 0.2928571428571428, 0.9014285714285714, 0.7714285714285715]","Quản lý|lắng nghe tích cực|giải quyết vấn đề phức tạp|phối hợp|tư duy phản biện|phán đoán & ra quyết định|giám sát|đọc hiểu|nhạy bén xã hội|giao tiếp nói|quản lý thời gian|viết"
"11-3111.00","Người quản lý bồi thường và lợi ích","Kế hoạch, trực tiếp hoặc phối hợp các hoạt động bồi thường và lợi ích của một tổ chức.","học chủ động|lắng nghe tích cực|tư duy phản biện|phán đoán & ra quyết định|quản lý nguồn lực tài chính|quản lý nguồn nhân lực|đọc hiểu|nhạy bén xã hội|giao tiếp nói|phân tích hệ thống|đánh giá hệ thống|quản lý thời gian|viết","[0.14285714285714285, 0.3485714285714286, 0.21285714285714286, 0.5271428571428571, 1.0, 0.7942857142857143]","Quản lý|học chủ động|lắng nghe tích cực|tư duy phản biện|phán đoán & ra quyết định|quản lý nguồn lực tài chính|quản lý nguồn nhân lực|đọc hiểu|nhạy bén xã hội|giao tiếp nói|phân tích hệ thống|đánh giá hệ thống|quản lý thời gian|viết"
"11-3121.00","Người quản lý nguồn nhân lực","Kế hoạch, chỉ đạo hoặc phối hợp các hoạt động nguồn nhân lực và nhân viên của một tổ chức.","học chủ động|lắng nghe tích cực|phối hợp|tư duy phản biện|phán đoán & ra quyết định|quản lý nguồn nhân lực|giám sát|đọc hiểu|nhạy bén xã hội|giao tiếp nói|quản lý thời gian|viết","[0.15571428571428572, 0.3828571428571429, 0.24428571428571427, 0.5542857142857143, 1.0, 0.7414285714285714]","Quản lý|học chủ động|lắng nghe tích cực|phối hợp|tư duy phản biện|phán đoán & ra quyết định|quản lý nguồn nhân lực|giám sát|đọc hiểu|nhạy bén xã hội|giao tiếp nói|quản lý thời gian|viết"
"11-3131.00","Người quản lý đào tạo và phát triển","Kế hoạch, chỉ đạo hoặc phối hợp các hoạt động đào tạo và phát triển và nhân viên của một tổ chức.","học chủ động|lắng nghe tích cực|giải quyết vấn đề phức tạp|phối hợp|tư duy phản biện|hướng dẫn|chiến lược học tập|quản lý nguồn nhân lực|giám sát|đọc hiểu|nhạy bén xã hội|giao tiếp nói|viết","[0.2785714285714286, 0.4657142857142857, 0.3742857142857143, 0.7914285714285715, 0.9071428571428571, 0.5614285714285715]","Quản lý|học chủ động|lắng nghe tích cực|giải quyết vấn đề phức tạp|phối hợp|tư duy phản biện|hướng dẫn|chiến lược học tập|quản lý nguồn nhân lực|giám sát|đọc hiểu|nhạy bén xã hội|giao tiếp nói|viết"
"11-9013.00","Các nông dân, nông dân và các nhà quản lý nông nghiệp khác","Kế hoạch, chỉ đạo hoặc phối hợp quản lý hoặc hoạt động của các trang trại, trang trại chăn nuôi, nhà kính, hoạt động nuôi trồng thủy sản, vườn ươm, khu rừng gỗ hoặc các cơ sở nông nghiệp khác. Có thể thuê, đào tạo và giám sát công nhân nông nghiệp hoặc hợp đồng dịch vụ để thực hiện các hoạt động hàng ngày của hoạt động được quản lý. Có thể tham gia hoặc giám sát các hoạt động gieo trồng, trồng trọt, thu hoạch và hoạt động tài chính và tiếp thị.","học chủ động|lắng nghe tích cực|giải quyết vấn đề phức tạp|phối hợp|tư duy phản biện|phán đoán & ra quyết định|quản lý nguồn nhân lực|giám sát|đàm phán|thuyết phục|đọc hiểu|nhạy bén xã hội|giao tiếp nói|quản lý thời gian|viết","[0.7371428571428572, 0.39571428571428574, 0.14857142857142858, 0.3757142857142857, 0.7914285714285715, 0.6442857142857142]","Quản lý|học chủ động|lắng nghe tích cực|giải quyết vấn đề phức tạp|phối hợp|tư duy phản biện|phán đoán & ra quyết định|quản lý nguồn nhân lực|giám sát|đàm phán|thuyết phục|đọc hiểu|nhạy bén xã hội|giao tiếp nói|quản lý thời gian|viết"
"11-9021.00","Người quản lý xây dựng","Kế hoạch, trực tiếp hoặc phối hợp, thường thông qua nhân viên giám sát phụ thuộc, các hoạt động liên quan đến việc xây dựng và bảo trì các cấu trúc, cơ sở và hệ thống. Tham gia vào việc phát triển khái niệm của một dự án xây dựng và giám sát tổ chức, lập kế hoạch, lập ngân sách và thực hiện của nó. Bao gồm các nhà quản lý trong các lĩnh vực xây dựng chuyên nghiệp, chẳng hạn như thợ gỗ hoặc ống nước.","học chủ động|lắng nghe tích cực|giải quyết vấn đề phức tạp|phối hợp|tư duy phản biện|phán đoán & ra quyết định|quản lý nguồn lực tài chính|quản lý nguồn nhân lực|giám sát|đọc hiểu|giao tiếp nói|quản lý thời gian","[0.67, 0.44, 0.24714285714285714, 0.33428571428571424, 0.8200000000000001, 0.687142857142857]","Quản lý|học chủ động|lắng nghe tích cực|giải quyết vấn đề phức tạp|phối hợp|tư duy phản biện|phán đoán & ra quyết định|quản lý nguồn lực tài chính|quản lý nguồn nhân lực|giám sát|đọc hiểu|giao tiếp nói|quản lý thời gian"
"11-9031.00","Quản trị viên giáo dục và chăm sóc trẻ em, mẫu giáo và nhà chăm sóc ban ngày","Kế hoạch, chỉ đạo hoặc phối hợp các hoạt động học tập hoặc phi học tập của các trường mẫu giáo hoặc trung tâm chăm sóc trẻ em và các chương trình, bao gồm chăm sóc trước và sau trường.","học chủ động|lắng nghe tích cực|phối hợp|tư duy phản biện|hướng dẫn|chiến lược học tập|quản lý nguồn nhân lực|giám sát|đọc hiểu|định hướng dịch vụ|nhạy bén xã hội|giao tiếp nói|viết","[0.1542857142857143, 0.43285714285714283, 0.4114285714285714, 0.9428571428571428, 0.6799999999999999, 0.6114285714285714]","Quản lý|học chủ động|lắng nghe tích cực|phối hợp|tư duy phản biện|hướng dẫn|chiến lược học tập|quản lý nguồn nhân lực|giám sát|đọc hiểu|định hướng dịch vụ|nhạy bén xã hội|giao tiếp nói|viết"
"11-9032.00","Người quản lý giáo dục, trường mẫu giáo đến trung học","Kế hoạch, chỉ đạo hoặc phối hợp các hoạt động học tập, hành chính hoặc phụ trợ của trường mẫu giáo, tiểu học hoặc trung học.","lắng nghe tích cực|giải quyết vấn đề phức tạp|phối hợp|tư duy phản biện|phán đoán & ra quyết định|chiến lược học tập|quản lý nguồn nhân lực|giám sát|đọc hiểu|nhạy bén xã hội|giao tiếp nói|đánh giá hệ thống|viết","[0.16857142857142857, 0.47428571428571425, 0.42142857142857143, 0.8385714285714286, 0.7385714285714285, 0.64]","Quản lý|lắng nghe tích cực|giải quyết vấn đề phức tạp|phối hợp|tư duy phản biện|phán đoán & ra quyết định|chiến lược học tập|quản lý nguồn nhân lực|giám sát|đọc hiểu|nhạy bén xã hội|giao tiếp nói|đánh giá hệ thống|viết"
