name,slug,vietnamese_name,category_group,description,vietnamworks_url,is_active,sort_order,created_at,updated_at
Payment Accounting,ke-toan-thanh-toan,Kế Toán Thanh Toán,Kế Toán & Tài Chính,Kế toán thanh toán và quản lý dòng tiền,,t,16,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Revenue Accounting,ke-toan-doanh-thu,Kế Toán Doanh Thu,Kế Toán & Tài Chính,Kế toán doanh thu và ghi nhận doanh thu,,t,17,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Financial Analysis,phan-tich-bao-cao-tai-chinh,Phân Tích & Báo Cáo Tài Chính,Kế Toán & Tài Chính,Phân tích và báo cáo tài chính,,t,18,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Financial Control,kiem-soat-vien-tai-chinh,Kiểm Soát Viên Tài Chính,Kế Toán & Tài Chính,Kiểm soát tài chính và kiểm toán nội bộ,,t,19,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Investment Finance,dau-tu-tai-chinh,Đầu Tư Tài Chính,Kế Toán & Tài Chính,Đầu tư và phân tích đầu tư tài chính,,t,20,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Credit,tin-dung,Tín Dụng,Kế Toán & Tài Chính,Quản lý tín dụng và rủi ro tín dụng,,t,21,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Valuation,dinh-gia,Định Giá,Kế Toán & Tài Chính,Định giá tài sản và doanh nghiệp,,t,22,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Fund Management,quan-ly-quy,Quản Lý Quỹ,Kế Toán & Tài Chính,Quản lý quỹ đầu tư và quỹ hưu trí,,t,23,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Compensation Benefits,luong-thuong-phuc-loi,Lương Thưởng & Phúc Lợi,Kế Toán & Tài Chính,Quản lý lương thưởng và phúc lợi,,t,24,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Business Analysis,phan-tich-kinh-doanh-phan-tich-he-thong,Phân Tích Kinh Doanh/Phân Tích Hệ Thống,Kế Toán & Tài Chính,Phân tích kinh doanh và hệ thống,,t,25,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Audit,kiem-toan,Kiểm Toán,Kế Toán & Tài Chính,Kiểm toán và kiểm toán nội bộ,,t,26,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Human Resources,nhan-su-tong-hop,Nhân Sự Tổng Hợp,Nhân Sự & Đào Tạo,Quản lý nhân sự tổng hợp,,t,30,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Recruitment,tuyen-dung,Tuyển Dụng,Nhân Sự & Đào Tạo,Tuyển dụng và thu hút nhân tài,,t,31,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Training Development,dao-tao-va-phat-trien,Đào Tạo Và Phát Triển,Nhân Sự & Đào Tạo,Đào tạo và phát triển nhân viên,,t,32,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Teaching,giang-day-dao-tao,Giảng Dạy/Đào Tạo,Nhân Sự & Đào Tạo,Giảng dạy và đào tạo chuyên môn,,t,33,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Education Management,quan-ly-giao-duc,Quản Lý Giáo Dục,Nhân Sự & Đào Tạo,Quản lý giáo dục và đào tạo,,t,34,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Education Consulting,tu-van-giao-duc,Tư Vấn Giáo Dục,Nhân Sự & Đào Tạo,Tư vấn giáo dục và hướng nghiệp,,t,35,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Student Services,dich-vu-sinh-vien-ho-tro-hoc-vien,Dịch Vụ Sinh Viên/Hỗ Trợ Học Viên,Nhân Sự & Đào Tạo,Hỗ trợ sinh viên và dịch vụ học tập,,t,36,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Employee Engagement,gan-ket-nhan-vien,Gắn Kết Nhân Viên,Nhân Sự & Đào Tạo,Gắn kết và phát triển văn hóa doanh nghiệp,,t,37,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Performance Management,quan-tri-hieu-suat-su-nghiep,Quản Trị Hiệu Suất & Sự Nghiệp,Nhân Sự & Đào Tạo,Quản trị hiệu suất và phát triển sự nghiệp,,t,38,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Software Development,phan-mem-may-tinh,Phần Mềm Máy Tính,Công Nghệ Thông Tin,Phát triển phần mềm và ứng dụng,,t,40,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Data Science,data-engineer-data-analyst-ai,Data Engineer/Data Analyst/AI,Công Nghệ Thông Tin,Khoa học dữ liệu và trí tuệ nhân tạo,,t,41,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
DevOps,system-cloud-devops-engineer,System/Cloud/DevOps Engineer,Công Nghệ Thông Tin,"Hệ thống, Cloud và DevOps",,t,42,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
IT Support,it-support-help-desk,IT Support/Help Desk,Công Nghệ Thông Tin,Hỗ trợ kỹ thuật và help desk,,t,43,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
IT Management,quan-ly-cong-nghe-thong-tin,Quản Lý Công Nghệ Thông Tin,Công Nghệ Thông Tin,Quản lý công nghệ thông tin,,t,44,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
IT Project Management,quan-ly-du-an-cong-nghe,Quản Lý Dự Án Công Nghệ,Công Nghệ Thông Tin,Quản lý dự án công nghệ,,t,45,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Hardware,phan-cung-may-tinh,Phần Cứng Máy Tính,Công Nghệ Thông Tin,Phần cứng máy tính và thiết bị,,t,46,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Cybersecurity,bao-mat-cong-nghe-thong-tin,Bảo Mật Công Nghệ Thông Tin,Công Nghệ Thông Tin,An ninh mạng và bảo mật thông tin,,t,47,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Software Testing,qa-qc-software-testing,QA/QC/Software Testing,Công Nghệ Thông Tin,Kiểm thử phần mềm và đảm bảo chất lượng,,t,48,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
UX UI Design,ux-ui-design,UX/UI Design,Công Nghệ Thông Tin,Thiết kế trải nghiệm người dùng và giao diện,,t,49,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Electrical Engineering,ky-thuat-dien-dien-tu,Kỹ Thuật Điện/Điện Tử,Kỹ Thuật & Sản Xuất,Kỹ thuật điện và điện tử,,t,50,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Production Planning,hoach-dinh-quan-ly-san-xuat,Hoạch Định & Quản Lý Sản Xuất,Kỹ Thuật & Sản Xuất,Hoạch định và quản lý sản xuất,,t,51,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Mechanical Engineering,co-khi-dien-lanh,Cơ Khí & Điện Lạnh,Kỹ Thuật & Sản Xuất,Cơ khí và điện lạnh công nghiệp,,t,52,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Automation,co-khi-tu-dong-hoa,Cơ Khí Tự Động Hoá,Kỹ Thuật & Sản Xuất,Tự động hóa và robot công nghiệp,,t,53,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Maintenance,bao-tri-bao-duong,Bảo trì/Bảo Dưỡng,Kỹ Thuật & Sản Xuất,Bảo trì và bảo dưỡng thiết bị,,t,54,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Automotive Engineering,ky-thuat-o-to,Kỹ Thuật Ô Tô,Kỹ Thuật & Sản Xuất,Kỹ thuật ô tô và xe cơ giới,,t,55,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Chemical Engineering,ky-thuat-hoa-hoc,Kỹ Thuật Hóa Học,Kỹ Thuật & Sản Xuất,Kỹ thuật hóa học và quy trình,,t,56,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Environmental Engineering,ky-thuat-moi-truong,Kỹ Thuật Môi Trường,Kỹ Thuật & Sản Xuất,Kỹ thuật môi trường và xử lý môi trường,,t,57,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
CNC Engineering,ky-thuat-cnc,Kỹ Thuật CNC,Kỹ Thuật & Sản Xuất,Kỹ thuật CNC và gia công chính xác,,t,58,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Medical Equipment,ky-thuat-vien-y-te,Kỹ Thuật Viên Y Tế,Kỹ Thuật & Sản Xuất,Kỹ thuật thiết bị y tế,,t,59,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Production Analysis,phan-tich-san-xuat,Phân Tích Sản Xuất,Kỹ Thuật & Sản Xuất,Phân tích và tối ưu hóa sản xuất,,t,60,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Construction,xay-dung,Xây Dựng,Xây Dựng & Kiến Trúc,Xây dựng công trình dân dụng và công nghiệp,,t,70,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Architecture,thiet-ke-kien-truc-hoa-vien-kien-truc,Thiết Kế Kiến Trúc/Họa Viên Kiến Trúc,Xây Dựng & Kiến Trúc,Thiết kế kiến trúc và quy hoạch,,t,71,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Interior Design,thiet-ke-noi-that,Thiết Kế Nội Thất,Xây Dựng & Kiến Trúc,Thiết kế nội thất và trang trí,,t,72,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Project Management,phat-trien-du-an-dau-thau,Phát Triển Dự Án/Đấu Thầu,Xây Dựng & Kiến Trúc,Quản lý dự án và đấu thầu,,t,73,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Industrial Design,thiet-ke-cong-nghiep-ky-thuat,Thiết Kế Công Nghiệp/Kỹ Thuật,Xây Dựng & Kiến Trúc,Thiết kế công nghiệp và kỹ thuật,,t,74,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Urban Planning,thiet-ke-quy-hoach-do-thi,Thiết Kế & Quy Hoạch Đô Thị,Xây Dựng & Kiến Trúc,Quy hoạch đô thị và phát triển đô thị,,t,75,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Construction Law,luat-xay-dung,Luật Xây Dựng,Xây Dựng & Kiến Trúc,Luật xây dựng và giấy phép,,t,76,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Marketing,tiep-thi,Tiếp Thị,Marketing & Truyền Thông,Marketing và tiếp thị kỹ thuật số,,t,80,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Digital Marketing,tiep-thi-truc-tuyen,Tiếp Thị Trực Tuyến,Marketing & Truyền Thông,Marketing trực tuyến và digital marketing,,t,81,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Content Marketing,tiep-thi-noi-dung,Tiếp Thị Nội Dung,Marketing & Truyền Thông,Marketing nội dung và sáng tạo,,t,82,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Trade Marketing,tiep-thi-thuong-mai,Tiếp Thị Thương Mại,Marketing & Truyền Thông,Marketing thương mại và POSM,,t,83,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Brand Management,quan-ly-thuong-hieu,Quản Lý Thương Hiệu,Marketing & Truyền Thông,Quản lý thương hiệu và communications,,t,84,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Public Relations,quan-he-cong-chung,Quan Hệ Công Chúng,Marketing & Truyền Thông,Quan hệ công chúng và truyền thông,,t,85,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Graphic Design,thiet-ke-do-hoa,Thiết Kế Đồ Họa,Marketing & Truyền Thông,Thiết kế đồ họa và sáng tạo,,t,86,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Video Editing,chinh-sua-video,Chỉnh Sửa Video,Marketing & Truyền Thông,Biên tập video và sản xuất media,,t,87,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Art Direction,dao-dien-nghe-thuat-nhiep-anh,Đạo Diễn Nghệ Thuật/Nhiếp Ảnh,Marketing & Truyền Thông,Đạo diễn nghệ thuật và nhiếp ảnh,,t,88,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Supply Chain,quan-ly-chuoi-cung-ung,Quản Lý Chuỗi Cung Ứng,Logistics & Chuỗi Cung Ứng,Quản lý chuỗi cung ứng hoàn chỉnh,,t,90,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Import Export,xuat-nhap-khau-thu-tuc-hai-quan,Xuất Nhập Khẩu & Thủ Tục Hải Quan,Logistics & Chuỗi Cung Ứng,Xuất nhập khẩu và thủ tục hải quan,,t,91,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Transportation,van-tai-giao-nhan-hang-hoa,Vận Tải/Giao Nhận Hàng Hóa,Logistics & Chuỗi Cung Ứng,Vận tải và giao nhận hàng hóa,,t,92,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Warehouse Management,quan-ly-kho-phan-phoi,Quản Lý Kho & Phân Phối,Logistics & Chuỗi Cung Ứng,Quản lý kho và phân phối,,t,93,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Procurement,thu-mua-quan-tri-hang-ton-kho,Thu Mua & Quản Trị Hàng Tồn Kho,Logistics & Chuỗi Cung Ứng,Thu mua và quản lý hàng tồn kho,,t,94,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Order Management,quan-ly-don-hang,Quản Lý Đơn Hàng,Logistics & Chuỗi Cung Ứng,Quản lý đơn hàng và xử lý đơn,,t,95,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Road Transport,van-tai-duong-bo,Vận Tải Đường Bộ,Logistics & Chuỗi Cung Ứng,Vận tải đường bộ và logistics,,t,96,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Rail Sea Transport,van-tai-duong-sat-hang-hai,Vận Tải Đường Sắt & Hàng Hải,Logistics & Chuỗi Cung Ứng,Vận tải đường sắt và hàng hải,,t,97,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Public Transport,dich-vu-van-tai-cong-cong,Dịch Vụ Vận Tải Công Cộng,Logistics & Chuỗi Cung Ứng,Dịch vụ vận tải công cộng,,t,98,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Fleet Management,quan-ly-doi-xe,Quản Lý Đội Xe,Logistics & Chuỗi Cung Ứng,Quản lý đội xe và vận tải,,t,99,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Customer Service,dich-vu-khach-hang,Dịch Vụ Khách Hàng,Dịch Vụ Khách Hàng,Dịch vụ khách hàng tổng hợp,,t,100,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Customer Support,dich-vu-ho-tro-khach-hang,Dịch Vụ Hỗ Trợ Khách Hàng,Dịch Vụ Khách Hàng,Hỗ trợ khách hàng kỹ thuật,,t,101,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Call Center,dich-vu-khach-hang-call-center,Dịch Vụ Khách Hàng - Call Center,Dịch Vụ Khách Hàng,Call center và teleservice,,t,102,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Customer Service Guide,dich-vu-khach-hang-huong-khach-hang,Dịch Vụ Khách Hàng - Hướng Khách Hàng,Dịch Vụ Khách Hàng,Hướng dẫn và hỗ trợ khách hàng,,t,103,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Reception,le-tan-tiep-tan,Lễ Tân/Tiếp Tân,Dịch Vụ Khách Hàng,Lễ tân và tiếp tân,,t,104,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Legal Consulting,tu-van-phap-ly,Tư Vấn Pháp Lý,Pháp Lý & Tuân Thủ,Tư vấn pháp lý doanh nghiệp,,t,110,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Compliance Risk,tuan-thu-kiem-soat-rui-ro,Tuân Thủ & Kiểm Soát Rủi Ro,Pháp Lý & Tuân Thủ,Tuân thủ và kiểm soát rủi ro,,t,111,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Legal Secretary,thu-ky-luat-tro-ly-luat,Thư Ký Luật & Trợ Lý Luật,Pháp Lý & Tuân Thủ,Thư ký pháp lý và trợ lý pháp lý,,t,112,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Legal Assistant,thu-ky-phap-ly,Thư Ký Pháp Lý,Pháp Lý & Tuân Thủ,Thư ký pháp lý và hỗ trợ pháp lý,,t,113,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Banking Finance Law,luat-tai-chinh-ngan-hang-thuong-mai,Luật Tài Chính Ngân Hàng Thương mại,Pháp Lý & Tuân Thủ,Luật tài chính ngân hàng,,t,114,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Labor Law,luat-lao-dong-huu-tri,Luật Lao động/Hưu Trí,Pháp Lý & Tuân Thủ,Luật lao động và bảo hiểm xã hội,,t,115,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Intellectual Property,luat-so-huu-tri-tue,Luật Sở Hữu Trí Tuệ,Pháp Lý & Tuân Thủ,Luật sở hữu trí tuệ,,t,116,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Tax Law,luat-thue,Luật Thuế,Pháp Lý & Tuân Thủ,Luật thuế và chính sách thuế,,t,117,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Legal Enforcement,quan-ly-thi-hanh-phap-luat,Quản Lý Thi Hành Pháp Luật,Pháp Lý & Tuân Thủ,Quản lý thi hành pháp luật,,t,118,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Policy Regulation,chinh-sach-quy-hoach-quy-dinh,"Chính sách, Quy hoạch & Quy định",Pháp Lý & Tuân Thủ,Chính sách và quy định,,t,119,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
CEO,ceo,CEO,Quản Lý Cấp Cao,Giám đốc điều hành và CEO,,t,120,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Senior Management,quan-ly-cap-cao,Quản Lý Cấp Cao,Quản Lý Cấp Cao,Quản lý cấp cao và lãnh đạo,,t,121,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Regional Management,quan-ly-khu-vuc,Quản Lý Khu Vực,Quản Lý Cấp Cao,Quản lý khu vực và vùng,,t,122,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Office Management,quan-ly-van-phong,Quản Lý Văn Phòng,Quản Lý Cấp Cao,Quản lý văn phòng và hành chính,,t,123,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Facility Management,quan-ly-co-so-vat-chat,Quản Lý Cơ Sở Vật Chất,Quản Lý Cấp Cao,Quản lý cơ sở vật chất,,t,124,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Event Management,quan-ly-su-kien,Quản Lý Sự Kiện,Quản Lý Cấp Cao,Quản lý sự kiện và tổ chức,,t,125,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Database Administration,quan-tri-co-so-du-lieu,Quản Trị Cơ Sở Dữ Liệu,Quản Lý Cấp Cao,Quản trị cơ sở dữ liệu,,t,126,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Medical Doctor,bac-si-dieu-tri-da-khoa-dieu-tri-noi-tru,Bác Sĩ/Điều Trị Đa Khoa/Điều Trị Nội Trú,Y Tế & Dược Phẩm,Bác sĩ đa khoa và điều trị nội trú,,t,130,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Nursing,y-ta,Y Tá,Y Tế & Dược Phẩm,Y tá và điều dưỡng,,t,131,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Pharmacy,duoc-si,Dược Sĩ,Y Tế & Dược Phẩm,Dược sĩ và quản lý dược,,t,132,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Pharmaceutical Distribution,phan-phoi-duoc-pham,Phân Phối Dược Phẩm,Y Tế & Dược Phẩm,Phân phối và kinh doanh dược phẩm,,t,133,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Food Technology,cong-nghe-thuc-pham,Công Nghệ Thực Phẩm,Y Tế & Dược Phẩm,Công nghệ thực phẩm và an toàn thực phẩm,,t,134,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Real Estate Development,phat-trien-bat-dong-san,Phát Triển Bất Động Sản,Bất Động Sản,Phát triển dự án bất động sản,,t,140,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Property Management,cho-thue-quan-ly-can-ho,Cho Thuê & Quản Lý Căn Hộ,Bất Động Sản,Quản lý và cho thuê căn hộ,,t,141,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Real Estate Analysis,phan-tich-du-an-bat-dong-san,Phân Tích Dự Án Bất Động Sản,Bất Động Sản,Phân tích và thẩm định dự án BĐS,,t,142,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Retail Management,quan-ly-cua-hang,Quản Lý Cửa Hàng,Bất Động Sản,Quản lý cửa hàng bán lẻ,,t,143,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Front Office,bo-phan-tien-sanh-dich-vu-khach-hang,Bộ Phận Tiền Sảnh & Dịch Vụ Khách Hàng,Khách Sạn & Du Lịch,Tiền sảnh và dịch vụ khách hàng,,t,150,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Hotel Reservation,dat-phong-khach-san,Đặt Phòng Khách Sạn,Khách Sạn & Du Lịch,Đặt phòng và quản lý đặt phòng khách sạn,,t,151,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
F&B Service,quay-bar-do-uong-phuc-vu,Quầy Bar/Đồ Uống/Phục vụ,Khách Sạn & Du Lịch,Phục vụ bar và đồ uống,,t,152,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Culinary,dau-bep,Đầu Bếp,Khách Sạn & Du Lịch,Đầu bếp và bếp trưởng,,t,153,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
F&B Management,quan-ly-f-b,Quản Lý F&B,Khách Sạn & Du Lịch,Quản lý Food & Beverage,,t,154,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Travel Agency,cong-ty-kinh-doanh-lu-hanh,Công Ty Kinh Doanh Lữ Hành,Khách Sạn & Du Lịch,Kinh doanh lữ hành và du lịch,,t,155,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Travel Agency,dai-ly-du-lich,Đại Lý Du Lịch,Khách Sạn & Du Lịch,Đại lý du lịch và tư vấn du lịch,,t,156,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Insurance Pricing,dinh-phi-bao-hiem,Định Phí Bảo Hiểm,Bảo Hiểm & Tài Chính Ngân Hàng,Định phí bảo hiểm và актуар,,t,160,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Insurance Claims,boi-thuong-bao-hiem,Bồi Thường Bảo Hiểm,Bảo Hiểm & Tài Chính Ngân Hàng,Bồi thường bảo hiểm và xử lý yêu cầu,,t,161,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Securities Trading,moi-gioi-giao-dich-chung-khoan,Môi Giới & Giao Dịch Chứng Khoán,Bảo Hiểm & Tài Chính Ngân Hàng,Môi giới và giao dịch chứng khoán,,t,162,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Agriculture,nong-lam-ngu-nghiep,Nông/Lâm/Ngư nghiệp,Nông Nghiệp & Tài Nguyên,"Nông nghiệp, lâm nghiệp và thủy sản",,t,170,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Mining,khai-thac-mo,Khai Thác Mỏ,Nông Nghiệp & Tài Nguyên,Khai thác mỏ và tài nguyên khoáng sản,,t,171,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Utilities,dien-nuoc-chat-thai,Điện/Nước/Chất Thải,Nông Nghiệp & Tài Nguyên,"Điện, nước và xử lý chất thải",,t,172,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Garment Production,phat-trien-san-pham-may-mac,Phát Triển Sản Phẩm May Mặc,Sản Xuất & Công Nghiệp,Sản xuất và phát triển ngành may mặc,,t,180,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
