id,industry_group_id,industry_group_slug,source_site,title,company,location,salary,salary_min,salary_max,skills,experience_level,employment_type,description,requirements,posted_date,application_deadline,job_url,apply_url,content_hash,is_active,first_seen_at,last_seen_at,created_at,updated_at,raw_data
7,1,information-technology,itviec,Software Architect,Altaa Vistaa,Hồ Chí Minh / Hà Nội,"",,,"{C++,Agile,'"Software Architecture'",Git,RTOS}",,,"Yêu cầu kỹ năng: C++, Agile, Software Architecture, Git, RTOS. Ứng tuyển trực tiếp trên ITViec.","",2026-04-18 11:33:12.182536+00,,https://itviec.com/it-jobs/software-architect-altaa-vistaa-3836,https://itviec.com/it-jobs/software-architect-altaa-vistaa-3836,50fd96f6b06c504ff29624d600ea68e7cb0252605b5d1cca4f355a32bff66596,t,2026-05-12 11:33:18.461193+00,2026-05-14 10:01:20.844032+00,2026-05-12 11:33:18.407227+00,2026-05-14 10:01:20.844032+00,"{'"skills'": ['"C++'", '"Agile'", '"Software Architecture'", '"Git'", '"RTOS'", '"+1'"], '"source'": '"dom'"}"
107,1,information-technology,vietnamworks,"Senior, Junior: Reactjs, Java, Spring, Bpmn, Camuda, Reactjs, Java, Spring, AI Dlc - K.CNTT",Ngân Hàng TMCP Đại Chúng Việt Nam,"","",,,{},,,Vị trí tại Ngân Hàng TMCP Đại Chúng Việt Nam. Xem chi tiết và ứng tuyển trực tiếp trên VietnamWorks.,"",,,https://www.vietnamworks.com/senior-junior-reactjs-java-spring-bpmn-camuda-reactjs-java-spring-ai-dlc-k-cntt-2039915-jv,https://www.vietnamworks.com/senior-junior-reactjs-java-spring-bpmn-camuda-reactjs-java-spring-ai-dlc-k-cntt-2039915-jv?source=searchResults&searchType=2&placement=2039915&sortBy=date&qs=0,cbfade586dfd5247b703eb10df476045061463c7c9a00932a0e2728eb6b164bc,t,2026-05-12 13:13:49.467662+00,2026-05-12 13:13:49.467662+00,2026-05-12 13:13:49.428552+00,2026-05-12 13:13:49.428552+00,"{'"source'": '"dom'"}"
183,2,marketing-communication,topcv,"Chuyên Viên Kinh Doanh Truyền Thông Quảng Cáo Tại Hà Nội - Thu Nhập Up To 20 Triệu (Nghỉ Thứ 7, CN) - Đi Làm Ngay","",Hà Nội,Từ 20 triệu,20,,{},,,"","",,,https://www.topcv.vn/brand/bizmansaigon/tuyen-dung/chuyen-vien-kinh-doanh-truyen-thong-quang-cao-tai-ha-noi-thu-nhap-up-to-20-trieu-nghi-thu-7-cn-di-lam-ngay-j2147616.html,https://www.topcv.vn/brand/bizmansaigon/tuyen-dung/chuyen-vien-kinh-doanh-truyen-thong-quang-cao-tai-ha-noi-thu-nhap-up-to-20-trieu-nghi-thu-7-cn-di-lam-ngay-j2147616.html,7db04c786ddf4d6a0a67d1752e59ba10f489a28bb5a92fa91057e3d3d897dab6,t,2026-05-12 13:18:44.826595+00,2026-05-14 09:50:48.786131+00,2026-05-12 13:18:44.847589+00,2026-05-14 09:50:48.786131+00,"{'"source'": '"dom'"}"
109,12,construction-engineering,vietnamworks,Kỹ Sư Cơ Khí ( Ứng Viên Chuẩn Bị Tốt Nghiệp Có Thể Ứng Tuyển),Công Ty Cổ Phần Phát Triển Kỹ Thuật Công Nghệ EDH,"","",,,{},,,Vị trí tại Công Ty Cổ Phần Phát Triển Kỹ Thuật Công Nghệ EDH. Xem chi tiết và ứng tuyển trực tiếp trên VietnamWorks.,"",,,https://www.vietnamworks.com/ky-su-co-khi-ung-vien-chuan-bi-tot-nghiep-co-the-ung-tuyen-2051498-jv,https://www.vietnamworks.com/ky-su-co-khi-ung-vien-chuan-bi-tot-nghiep-co-the-ung-tuyen-2051498-jv?source=searchResults&searchType=2&placement=2051498&sortBy=date&qs=0,9c1a1af41c362b712f029074eb280e8bc8cd0c5d1b778f069e01aa95f239a859,t,2026-05-12 13:13:49.467662+00,2026-05-12 13:13:49.467662+00,2026-05-12 13:13:49.428552+00,2026-05-12 13:13:49.428552+00,"{'"source'": '"dom'"}"
8,1,information-technology,itviec,"Product Tester (QA QC, Jira, Trello)",CÔNG TY TNHH TEENUP,Hồ Chí Minh / Hà Nội,"",,,"{'"QA QC'",NodeJS,Trello,Jira,Tester}",,,"Yêu cầu kỹ năng: QA QC, NodeJS, Trello, Jira, Tester. Ứng tuyển trực tiếp trên ITViec.","",2026-05-12 09:33:14.16517+00,,https://itviec.com/it-jobs/product-tester-qa-qc-jira-trello-cong-ty-tnhh-teenup-1256,https://itviec.com/it-jobs/product-tester-qa-qc-jira-trello-cong-ty-tnhh-teenup-1256,44f927dc0754c4a369b70734641033633bf232877b0c435cc0d7cdb1f6053536,t,2026-05-12 11:33:18.461193+00,2026-05-14 10:01:20.844032+00,2026-05-12 11:33:18.407227+00,2026-05-14 10:01:20.844032+00,"{'"skills'": ['"QA QC'", '"NodeJS'", '"Trello'", '"Jira'", '"Tester'"], '"source'": '"dom'"}"
187,12,construction-engineering,topcv,"Kỹ Sư Hiện Trường - Kỹ Sư Điện Công Trình (Shop Drawing/AutoCAD) - 1 Năm Kinh Nghiệm Trở Lên - Tại Nghĩa Đô, HN - Thu Nhập Upto 20 Triệu +++",CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ NĂNG LƯỢNG V.TECH,Hà Nội,15 - 20 triệu,15,20,{},,,"","",,,https://www.topcv.vn/viec-lam/ky-su-hien-truong-ky-su-dien-cong-trinh-shop-drawing-autocad-1-nam-kinh-nghiem-tro-len-tai-nghia-do-hn-thu-nhap-upto-20-trieu/2103240.html,https://www.topcv.vn/viec-lam/ky-su-hien-truong-ky-su-dien-cong-trinh-shop-drawing-autocad-1-nam-kinh-nghiem-tro-len-tai-nghia-do-hn-thu-nhap-upto-20-trieu/2103240.html,20d1f6e1e5d91f11840024407c60c2896415b2dd9ed8cc4f822633370b503091,t,2026-05-12 13:18:44.826595+00,2026-05-14 01:16:38.573394+00,2026-05-12 13:18:44.847589+00,2026-05-14 01:16:38.573394+00,"{'"source'": '"dom'"}"
22,9,healthcare-medical,vietnamworks,Nhân Viên Admin Phòng Đào Tạo,"Công Ty TNHH Thiết Bị Minh Tâm (Mitalab Co., Ltd)","","",,,{},,,"Vị trí tại Công Ty TNHH Thiết Bị Minh Tâm (Mitalab Co., Ltd). Xem chi tiết và ứng tuyển trực tiếp trên VietnamWorks.","",,,https://www.vietnamworks.com/nhan-vien-admin-phong-dao-tao-2045935-jv,https://www.vietnamworks.com/nhan-vien-admin-phong-dao-tao-2045935-jv?source=searchResults&searchType=2&placement=2045935&sortBy=date&qs=0,49e46da1c6db005fe1eb3e3801cbc47a6495b0faf3f124448ced735652ee8bcf,t,2026-05-12 11:33:19.437314+00,2026-05-12 13:18:45.92361+00,2026-05-12 11:33:19.447191+00,2026-05-12 13:18:45.92361+00,"{'"source'": '"dom'"}"
527,18,administration-office,vietnamworks,KYC Officer ( Temporary Staff on A 2-Year contract),"Mufg Bank, Ltd., Ho Chi Minh City Branch",Hồ Chí Minh,"",,,{},,,"Vị trí tại Mufg Bank, Ltd., Ho Chi Minh City Branch. Xem chi tiết và ứng tuyển trực tiếp trên VietnamWorks.","",,,https://www.vietnamworks.com/kyc-officer-temporary-staff-on-a-2-year-contract-2051083-jv,https://www.vietnamworks.com/kyc-officer-temporary-staff-on-a-2-year-contract-2051083-jv?source=searchResults&searchType=2&placement=2051083&sortBy=date&qs=0,9821a8d63506341f3829961bee627524bacad5600a29578c6d14f5747c9397d8,t,2026-05-13 16:22:22.857879+00,2026-05-14 02:01:48.63836+00,2026-05-13 16:22:22.879519+00,2026-05-14 02:01:48.63836+00,"{'"source'": '"dom'"}"
18,9,healthcare-medical,vietnamworks,CV Mua sắm - Đàm phán Hợp đồng,Công Ty Cổ Phần Gemadept,"","",,,{},,,Vị trí tại Công Ty Cổ Phần Gemadept. Xem chi tiết và ứng tuyển trực tiếp trên VietnamWorks.,"",,,https://www.vietnamworks.com/cv-mua-sam-djam-phan-hop-djong-2048711-jv,https://www.vietnamworks.com/cv-mua-sam-djam-phan-hop-djong-2048711-jv?source=searchResults&searchType=2&placement=2048711&sortBy=date&qs=0,af231a2a6f7cdaedc4f115448b93e407dd2f3c4e2b5e03b1f2856954cadd7d18,t,2026-05-12 11:33:19.437314+00,2026-05-12 13:18:46.505241+00,2026-05-12 11:33:19.447191+00,2026-05-12 13:18:46.505241+00,"{'"source'": '"dom'"}"
103,1,information-technology,vietnamworks,Nhân Viên Lập Trình Phòng Information System,Công Ty TNHH DENSO Việt Nam,"","",,,{},,,Vị trí tại Công Ty TNHH DENSO Việt Nam. Xem chi tiết và ứng tuyển trực tiếp trên VietnamWorks.,"",,,https://www.vietnamworks.com/nhan-vien-lap-trinh-phong-information-system--2046036-jv,https://www.vietnamworks.com/nhan-vien-lap-trinh-phong-information-system--2046036-jv?source=searchResults&searchType=2&placement=2046036&sortBy=date&qs=0,a0db469f67923801269ba15e5214e8079755549afd6313befa65b00034a44f97,t,2026-05-12 13:13:49.467662+00,2026-05-14 03:46:44.163268+00,2026-05-12 13:13:49.428552+00,2026-05-14 03:46:44.163268+00,"{'"source'": '"dom'"}"
185,18,administration-office,topcv,Nhân Viên Sale/Tư Vấn - Làm Giờ Hành Chính (Thu Nhập Từ 15 - 25 Triệu/Tháng),CÔNG TY CP CVB VIỆT NAM,Hà Nội,20 - 25 triệu,20,25,{},,,"","",,,https://www.topcv.vn/viec-lam/nhan-vien-sale-tu-van-lam-gio-hanh-chinh-thu-nhap-tu-15-25-trieu-thang/2146907.html,https://www.topcv.vn/viec-lam/nhan-vien-sale-tu-van-lam-gio-hanh-chinh-thu-nhap-tu-15-25-trieu-thang/2146907.html,2165a92658d17fca402bc6503bbf27be35e7cd9e682360c26eca7f6022de741f,t,2026-05-12 13:18:44.826595+00,2026-05-14 09:50:48.786131+00,2026-05-12 13:18:44.847589+00,2026-05-14 09:50:48.786131+00,"{'"source'": '"dom'"}"
186,11,manufacturing-production,topcv,Nhân Viên Kỹ Thuật Vận Hành Máy In Công Nghiệp Thu Nhập Đến 13 Triệu Không Yêu Cầu Kinh Nghiệm Đi Làm Ngay Tại Hà Nội,"",Hà Nội,8 - 13 triệu,8,13,{},,,"","",,,https://www.topcv.vn/viec-lam/nhan-vien-ky-thuat-van-hanh-may-in-cong-nghiep-thu-nhap-den-13-trieu-khong-yeu-cau-kinh-nghiem-di-lam-ngay-tai-ha-noi/2061612.html,https://www.topcv.vn/viec-lam/nhan-vien-ky-thuat-van-hanh-may-in-cong-nghiep-thu-nhap-den-13-trieu-khong-yeu-cau-kinh-nghiem-di-lam-ngay-tai-ha-noi/2061612.html,4af56ac6301983a5bf3fcf7976a83f4618e14fc641eb74a9bff9055da1cf1948,t,2026-05-12 13:18:44.826595+00,2026-05-14 10:01:20.844032+00,2026-05-12 13:18:44.847589+00,2026-05-14 10:01:20.844032+00,"{'"source'": '"dom'"}"
113,1,information-technology,vietnamworks,Manual Tester,FPT Software,"","",,,{},,,Vị trí tại FPT Software. Xem chi tiết và ứng tuyển trực tiếp trên VietnamWorks.,"",,,https://www.vietnamworks.com/manual-tester-2027070-jv,https://www.vietnamworks.com/manual-tester-2027070-jv?source=searchResults&searchType=2&placement=2027070&sortBy=date&qs=0,a548f834704eedba4ce2b4156d8a1701ba5f2519c353183b17f2005a485ad688,t,2026-05-12 13:13:49.467662+00,2026-05-12 13:13:49.467662+00,2026-05-12 13:13:49.428552+00,2026-05-12 13:13:49.428552+00,"{'"source'": '"dom'"}"
97,1,information-technology,vietnamworks,Giám Đốc Quản Lý Quy Trình,Công Ty Cổ Phần Vinsmart Future,"","",,,{},,,Vị trí tại Công Ty Cổ Phần Vinsmart Future. Xem chi tiết và ứng tuyển trực tiếp trên VietnamWorks.,"",,,https://www.vietnamworks.com/giam-doc-quan-ly-quy-trinh--2050221-jv,https://www.vietnamworks.com/giam-doc-quan-ly-quy-trinh--2050221-jv?source=searchResults&searchType=2&placement=2050221&sortBy=date&qs=0,0553b80abfa45803ce3af0912f4010c25fa8075ef3f016f11b2c5eb93bb7bf2c,t,2026-05-12 13:13:49.467662+00,2026-05-14 01:49:17.575349+00,2026-05-12 13:13:49.428552+00,2026-05-14 01:49:17.575349+00,"{'"source'": '"dom'"}"
23,5,human-resources,vietnamworks,Trưởng Phòng Hành Chính Nhân Sự,CÔNG TY TNHH LUCI SCIENTIFIC COSMETICS,"","",,,{},,,Vị trí tại CÔNG TY TNHH LUCI SCIENTIFIC COSMETICS. Xem chi tiết và ứng tuyển trực tiếp trên VietnamWorks.,"",,,https://www.vietnamworks.com/truong-phong-hanh-chinh-nhan-su-2043689-jv,https://www.vietnamworks.com/truong-phong-hanh-chinh-nhan-su-2043689-jv?source=searchResults&searchType=2&placement=2043689&sortBy=date&qs=0,a6344bc859f85438f5389f78ae6a5941c9a1c061866e78516b60ef8c217800d7,t,2026-05-12 11:33:19.571852+00,2026-05-12 13:18:45.352974+00,2026-05-12 11:33:19.581208+00,2026-05-12 13:18:45.352974+00,"{'"source'": '"dom'"}"
24,5,human-resources,vietnamworks,2 Nhân Viên Phòng Hành Chính Nhân Sự (Tiếng Nhật N3 Trở Lên),Công Ty TNHH Kyocera Việt Nam,"","",,,{},,,Vị trí tại Công Ty TNHH Kyocera Việt Nam. Xem chi tiết và ứng tuyển trực tiếp trên VietnamWorks.,"",,,https://www.vietnamworks.com/2-nhan-vien-phong-hanh-chinh-nhan-su-tieng-nhat-n3-tro-len-2043700-jv,https://www.vietnamworks.com/2-nhan-vien-phong-hanh-chinh-nhan-su-tieng-nhat-n3-tro-len-2043700-jv?source=searchResults&searchType=2&placement=2043700&sortBy=date&qs=0,4125873c83af3630fe209161e3b9eb262dd39bef345610bd3f35440d2c655902,t,2026-05-12 11:33:19.571852+00,2026-05-12 13:18:45.352974+00,2026-05-12 11:33:19.581208+00,2026-05-12 13:18:45.352974+00,"{'"source'": '"dom'"}"
100,1,information-technology,vietnamworks,Firmware Engineer,Công Ty TNHH Qorvo Việt Nam,"","",,,{},,,Vị trí tại Công Ty TNHH Qorvo Việt Nam. Xem chi tiết và ứng tuyển trực tiếp trên VietnamWorks.,"",,,https://www.vietnamworks.com/firmware-engineer-10--2051149-jv,https://www.vietnamworks.com/firmware-engineer-10--2051149-jv?source=searchResults&searchType=2&placement=2051149&sortBy=date&qs=0,d85c9c1624df968d454f34118cbbdc3160676a2d6def980e5ecfbd5c12539e0d,t,2026-05-12 13:13:49.467662+00,2026-05-14 01:49:17.575349+00,2026-05-12 13:13:49.428552+00,2026-05-14 01:49:17.575349+00,"{'"source'": '"dom'"}"
3,1,information-technology,vietnamworks,[HOT] Chuyên Gia Phát Triển Sản Phẩm/Giải Pháp CNTT,Trung Tâm Công Nghệ Thông Tin MobiFone,"","",,,{},,,"","",,,https://www.vietnamworks.com/hot-chuyen-gia-phat-trien-san-phamgiai-phap-cntt-2043667-jv,https://www.vietnamworks.com/hot-chuyen-gia-phat-trien-san-phamgiai-phap-cntt-2043667-jv?source=searchResults&searchType=2&placement=2043667&sortBy=date&qs=0,5af60cb8ae83414c4242504af6a005833bad2a4e7c57d5554904507eb7c04c34,t,2026-05-12 11:33:18.461193+00,2026-05-12 11:58:51.551952+00,2026-05-12 11:33:18.407227+00,2026-05-12 11:58:51.551952+00,"{'"source'": '"dom'"}"
4,1,information-technology,vietnamworks,"Chuyên Viên Presale (Cloud, An Ninh Mạng)",Trung Tâm Công Nghệ Thông Tin MobiFone,"","",,,{},,,"","",,,https://www.vietnamworks.com/chuyen-vien-presale-cloud-an-ninh-mang-2043672-jv,https://www.vietnamworks.com/chuyen-vien-presale-cloud-an-ninh-mang-2043672-jv?source=searchResults&searchType=2&placement=2043672&sortBy=date&qs=0,40bba9b62999972c6c8546fee35c65a2942fc389cf7cf4a31bfe0383e150e413,t,2026-05-12 11:33:18.461193+00,2026-05-12 11:58:51.551952+00,2026-05-12 11:33:18.407227+00,2026-05-12 11:58:51.551952+00,"{'"source'": '"dom'"}"
193,4,accounting-auditing,topcv,Giám Sát Pháp Chế,"",Hà Nội,25 - 30 triệu,25,30,{},,,"","",,,https://www.topcv.vn/brand/jtcargovn/tuyen-dung/giam-sat-phap-che-j2131032.html,https://www.topcv.vn/brand/jtcargovn/tuyen-dung/giam-sat-phap-che-j2131032.html,59af47d1281d8c3669a94351ca08eabeb948d982e4fbc2259a5034e45c884d10,t,2026-05-12 13:18:44.826595+00,2026-05-14 10:01:20.844032+00,2026-05-12 13:18:44.847589+00,2026-05-14 10:01:20.844032+00,"{'"source'": '"dom'"}"
2,1,information-technology,vietnamworks,Chuyên Viên Kinh Doanh Dự Án CNTT,Trung Tâm Công Nghệ Thông Tin MobiFone,"","",,,{},,,"","",,,https://www.vietnamworks.com/chuyen-vien-kinh-doanh-du-an-cntt-2043676-jv,https://www.vietnamworks.com/chuyen-vien-kinh-doanh-du-an-cntt-2043676-jv?source=searchResults&searchType=2&placement=2043676&sortBy=date&qs=0,511c8338d6da7b8fa622a557e627b4fe44b027ca9541e033b69c4d2efb8affe1,t,2026-05-12 11:33:18.461193+00,2026-05-12 12:02:41.429301+00,2026-05-12 11:33:18.407227+00,2026-05-12 12:02:41.429301+00,"{'"source'": '"dom'"}"
114,6,sales-business-development,vietnamworks,Nhân Viên Kinh Doanh (Open for Fresher),Navigos Group,"","",,,{},,,Vị trí tại Navigos Group. Xem chi tiết và ứng tuyển trực tiếp trên VietnamWorks.,"",,,https://www.vietnamworks.com/nhan-vien-kinh-doanh-open-for-fresher--2047840-jv,https://www.vietnamworks.com/nhan-vien-kinh-doanh-open-for-fresher--2047840-jv?source=searchResults&searchType=2&placement=2047840&sortBy=date&qs=0,b8633a4cfb68ea0c7f8af0189c8372eeffd0ea1659be9f5e679fbf0254512e5c,t,2026-05-12 13:13:49.467662+00,2026-05-12 13:13:49.467662+00,2026-05-12 13:13:49.428552+00,2026-05-12 13:13:49.428552+00,"{'"source'": '"dom'"}"
124,6,sales-business-development,vietnamworks,Cán Bộ Thanh Tra Cao Cấp (Kinh Doanh - Vận Hành),Công Ty Cổ Phần Vinhomes,"","",,,{},,,Vị trí tại Công Ty Cổ Phần Vinhomes. Xem chi tiết và ứng tuyển trực tiếp trên VietnamWorks.,"",,,https://www.vietnamworks.com/can-bo-thanh-tra-cao-cap-kinh-doanh-van-hanh-2044513-jv,https://www.vietnamworks.com/can-bo-thanh-tra-cao-cap-kinh-doanh-van-hanh-2044513-jv?source=searchResults&searchType=2&placement=2044513&sortBy=date&qs=0,5c5eb9e91232f7380a8e062829faa22fba90a532d3d23b7638e8a7693eaabcd3,t,2026-05-12 13:18:44.436857+00,2026-05-14 03:47:05.061144+00,2026-05-12 13:18:44.459969+00,2026-05-14 03:47:05.061144+00,"{'"source'": '"dom'"}"
30,1,information-technology,topcv,Chuyên Viên Tư Vấn Giải Pháp Phần Mềm Enterprise,CÔNG TY CỔ PHẦN 1OFFICE,Hà Nội & Hồ Chí Minh (mới),30 - 60 triệu,30,60,{},,,"","",,,https://www.topcv.vn/viec-lam/chuyen-vien-tu-van-giai-phap-phan-mem-enterprise/2144098.html,https://www.topcv.vn/viec-lam/chuyen-vien-tu-van-giai-phap-phan-mem-enterprise/2144098.html,f1d2e12c73f0422c0042adf01db17ed765e44222f392214532edc5adbcc4aaf8,t,2026-05-12 11:58:51.551952+00,2026-05-12 11:58:51.551952+00,2026-05-12 11:58:51.420589+00,2026-05-12 11:58:51.420589+00,"{'"source'": '"dom'"}"
