conceptType,conceptUri,skillType,reuseLevel,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,scopeNote,definition,inScheme,description
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/004017c9-0337-4f5a-8077-798de9ef12e3,skill/competence,sector-specific,perform street interventions in social work,"conduct outreach activites
carry out street interventions in social work
perform street-intervention in social-work
perform street intervention in social-work
perform street-intervention in social work
do street interventions in social work",,released,2023-11-30T15:11:30.413Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Conduct outreach activities by providing direct information or counselling services to individuals in their neighbourhood or in the streets, usually targeted at youth or homeless people."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/004f1e68-9ca2-4f3f-92d9-e7d7ff6b9330,skill/competence,sector-specific,work with soloists,"collaborate with soloists
communicate with solo artists
work with a soloist",,released,2023-11-30T14:52:04.558Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Communicate with solo artists and concert masters to discuss and prepare for performances.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00506f28-e884-4496-800c-3477c67eb355,knowledge,cross-sector,sport and exercise medicine,"sports medicine
sports injury medicine
sports injury treatment
exercise and sports medicine",,released,2023-11-28T10:35:15.768Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Prevention and treatement of injuries or conditions resulted from a physical activity or sport.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0058526a-11e9-40a1-ab33-7c5ffdf5da05,skill/competence,sector-specific,conduct research on flora,"perform research on flora
run research on flora
flora research
research on flora
carry out research on flora",,released,2025-07-25T11:15:00.857Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Collect and analyse data about plants in order to discover their basic aspects such as origin, anatomy, and function."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00735755-adc6-4ea0-b034-b8caff339c9f,skill/competence,cross-sector,install heat pump,"installation of heat pumps
commissioning heat pumps
heat pump installing
heat pump commissioning
installation of heat pump
commissioning heat pump
commissioning of heat pumps
heat pump installation
commissioning of heat pump
commission heat pumps
commission heat pump",,released,2023-11-30T16:02:47.092Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/green,
http://data.europa.eu/esco/concept-scheme/member-skills","Install heat pumps, which use the physical properties of substances called refrigerants to extract heat from an environment and release it to a warmer environment, counter to spontaneous heat flow. Create the necessary openings and install the indoors and outdoors parts of the heat pump. Connect electricity and any ducts, and configure the heat pump."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0082c13b-5866-4542-bc4f-722a4ae9530e,skill/competence,sector-specific,design biomass installations,"design biomass energy system
design biomass installation
determine construction boundaries for biomass energy systems
design biomass system
calculate capacity indicators for biomass installations",,released,2024-02-26T09:06:09.511Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/green,
http://data.europa.eu/esco/concept-scheme/member-skills","Design the biomass energy system. Determine construction boundaries such as needed space and weight. Calculate indicators such as capacity, flow, and temperatures. Make detailed descriptions and drawings of the design."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00831ebb-bac3-4bd1-8dae-2bca67be958d,skill/competence,occupation-specific,handle equipment while suspended,"equipment handling while suspended
use climbing equipment
using climbing equipment while on a rope
using climbing equipment
use climbing equipment while on a rope",,released,2023-11-30T16:15:46.521Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Safely operate hand equipment while suspended on a rope. Take on a secure and stable position before starting the operation. After finishing, store the equipment safely, usually by attaching it to a belt buckle."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0085e6bd-6829-4e8e-b302-842a7fe57ed9,skill/competence,cross-sector,teach housekeeping skills,"teach house keeping skills
teach skills for housekeeping
teach housekeeping skill
teach house-keeping skills
teach domestic science skills
instruct on housekeeping skills
train on housekeeping skills",,released,2023-11-30T14:59:12.719Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Teach housekeeping as well as manual skills aiming to improve everyday tasks and life circumstances.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/008a0e0d-7380-4b31-abe5-0195e700f8c0,skill/competence,sector-specific,check train engines,"check locomotive engines
check engines on trains meet regulations
ensure compliance of train engines with regulations
check engines on locomotives
ensure train engines comply with regulations
perform train engine compliance activities
ensure train engines comply with applicable regulations
check train engines meet regulations
ensure train engines meet regulatory requirements
check engines of trains
check engines on trains",,released,2023-11-30T16:26:57.022Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Ensure that train engines comply with regulations before commencing a journey.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/008fa98b-dba6-4abf-909e-04299728e3eb,skill/competence,cross-sector,influence public policies,"convince policymakers to change policies
communicate with policymakers for lobbying aims
communicate with policymakers to influence policies
lobbying for public policies
communicate with policymakers for lobbying purposes",,released,2024-02-23T16:56:46.419Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Communicate with policymakers and provide them with data to convince them to change legislation or allocate funds to a specific cause.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00920055-eb50-4cb8-a23d-3deedbf3753e,knowledge,sector-specific,enterprise risk management,"ERM
enterprise risk management process",,released,2024-02-28T14:47:43.024Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","A plan-based business strategy that aims to identify, assess, and prepare for any dangers, hazards, and other potentials for disaster, both physical and figurative, that may interfere with an organization's operations and objectives."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/009673d9-e2fd-46ef-a64b-6027ac7fd613,skill/competence,sector-specific,manufacture ingredients,"manufacture of ingredients
manufacture of an ingredient
fabricate ingredients
ingredients manufacture
construct ingredients
assemble ingredients
produce ingredients",,released,2023-11-28T10:48:56.713Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Manufacture ingredients such as spices, additives and vegetables."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00994812-ac9e-4856-954b-f71bcc6066bb,skill/competence,occupation-specific,maintain aquaculture ponds,"aquaculture ponds cleaning
aquaculture ponds maintaining
cleaning aquaculture ponds
pond cleaning in aquaculture
clean aquaculture ponds
aquaculture pond cleaning
aquaculture pond maintaining
pond maintaining in aquaculture",,released,2023-11-30T15:58:12.366Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Clean equipment and treatment tools. Drain and clean aquaculture ponds using brushes, chemicals, and water. Prepare holding containers for fish and change the nets. Conduct swimthroughs. Stock fish in holding units. Collect dead fish in holding units."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/009db49b-fcf5-4409-b4a5-232d059f3597,skill/competence,cross-sector,apply credit risk policy,"administer credit risk policy
apply a credit risk policy
credit risk policy application
implement credit risk policy
utilise credit risk policy
employ credit risk policy",,released,2023-11-30T16:21:51.121Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Implement company policies and procedures in the credit risk management process. Permanently keep company's credit risk at a manageable level and take measures to avoid credit failure.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00a4e92d-e410-42b8-ba2d-d7b3febf49e0,skill/competence,occupation-specific,handle customer requests related to cargo,"address customer requests in relation to shipments
deal with customer requests related to cargo
handle customer requests related to freight
handle requests of customers related to freight
respond to customer requests in relation to cargo
deal with customer requests related to freight
handle requests of customers related to cargo
respond to customer freight requests
deal with requests of customers related to cargo
address requests made by customers in relation to cargo
respond to customer cargo requests",,released,2023-11-28T10:51:36.263Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Handle requests of port users and customers in the field of containers, shipping arrangements or cargo."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00b9a3aa-7070-4bb5-8020-f228a97cf42f,skill/competence,cross-sector,draft scientific or academic papers and technical documentation,"create technical documentation
create technical documentation and academic writings
write technical documentation
write scientific and academic papers",,released,2024-02-27T10:19:54.09Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/research","Draft and edit scientific, academic or technical texts on different subjects."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00c04e40-35ea-4ed1-824c-82f936c8f876,knowledge,sector-specific,incremental development,gradual development,,released,2023-11-30T16:04:23.487Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",The incremental development model is a methodology to design software systems and applications.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00c51318-4ea9-4d37-9cd8-74680583d203,knowledge,occupation-specific,use of special equipment for daily activities,use of particular equipment for daily activities,,released,2023-11-30T14:55:34.482Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","The types of special equipment, prosthetics and orthotics used to aid with performing daily activities, such as wheelchairs."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00c85cbc-2b24-4605-a6fe-55b5c615e3fe,knowledge,sector-specific,sawing techniques,"sawing methods
sawing procedures
sawing technologies",,released,2023-11-28T17:01:47.985Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Various sawing techniques for using manual as well as electric saws.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00cd1d60-782f-48e7-9a7b-b518f2b146b8,skill/competence,sector-specific,produce guitar components,"erect guitar components
build guitar components
construct guitar components
producing guitar components
produce a guitar component
make guitar components",,released,2023-11-30T15:07:31.318Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Choose the appropriate tonewood, materials and tools, and build the different guitar components such as the sound board, fretboard, headstock, neck and bridge."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00dd3271-077f-4a12-a958-e297fdd724ce,skill/competence,sector-specific,operate agricultural machinery,"operating farm machinery
operating motorised farm machinery
operate farm machinery
operate motorised agricultural machinery
agricultural machinery operating
operating motorised agricultural machinery
farm machinery operating
motorised farm machinery operating
motorised agricultural machinery operating",,released,2023-11-30T15:33:40.16Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Operate motorised agricultural equipment including tractors, balers, sprayers, ploughs, mowers, combines, earthmoving equipment, trucks, and irrigation equipment."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00e261cc-669c-4b94-8950-d038eceb92d8,skill/competence,occupation-specific,control pyrotechnics stock,"pyrotechnics stock managing
pyrotechnics stock controlling
control stock of pyrotechnics
manage pyrotechnics stock",,released,2023-11-30T16:40:26.908Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Check the expiration period of the stock in order to remove the already expired pyrotechnics. Place them into special metal containers for further processing.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00e53a0a-c0ba-4c9f-a2ed-4706d5832a00,skill/competence,sector-specific,guarantee customer satisfaction,"ensure customer satisfaction
promise customer satisfaction
customer satisfaction guarantee
assure customer satisfaction
guaranteeing customer satisfaction
provide customer satisfaction",,released,2023-11-30T16:17:08.718Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Handle customer expectations in a professional manner, anticipating and addressing their needs and desires. Provide flexible customer service to ensure customer satisfaction and loyalty."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00e895f4-b9d3-4a1a-8c36-baf10fbfb982,skill/competence,sector-specific,manufacture wearing apparel products,"manufacture clothing products
assemble clothing components
assemble garment components
manufacture garments
manufacture wearing apparel
manufacture clothing
assemble wearing apparel components",,released,2023-11-28T17:02:59.358Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Manufacture either mass-product or bespoke wearing apparels of various types, assembling and joining together wearing apparel components using processes such as sewing, gluing, bonding. Assemble wearing apparel components using stitches, seams such as collars, sleeves, top fronts, top backs, pockets."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00eada7f-0b83-4f0c-af81-d7f92d838000,skill/competence,sector-specific,cure tobacco leaves,"smoke tobacco leaves
preserve tobacco leaves
temper tobacco leaves
dry tobacco leaves
cure a tobacco leaf",,released,2023-11-30T16:43:33.944Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Remove the moisture out of the tobacco leaves directly after harvesting them through various processes such as air curing, flue curing or sun curing."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00ebb379-ce26-439a-ba89-9a7d1ef2f696,skill/competence,cross-sector,develop a rehabilitation programme,"set up rehabilitation plan
design a rehabilitation programme
compile a rehabilitation plan
develop rehabilitation programmes",,released,2023-11-30T16:44:35.269Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Develop a rehabilitation programme to help patients rebuild their skills and restore their confidence.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00ec5333-e570-477b-9017-2e95fea0150a,skill/competence,sector-specific,maintain inventory of cleaning supplies,"maintain inventory of cleaning supply
track inventory of cleaning supplies
maintain inventory of supplies for cleaning
manage inventory of cleaning supplies",,released,2023-11-30T15:57:17.267Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Follow the stock of cleaning materials, order new material when the stock is empty and follow their usage to maintain a constant supply."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00eefa32-9f77-4500-abe9-20afc7924a9d,knowledge,occupation-specific,cold vulcanisation,"tyre repair technique
tyre repair method
using vulcanising solution
use of vulcanising solution",,released,2023-11-28T10:55:39.536Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Technique used to repair defective tyres, especially bicycle tyres, and consisting in grinding the area around the tear, applying a vulcanising solution and fixing a patch to seal the tear."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00f12ec1-b416-4e3c-8ed7-c4f875c6b681,skill/competence,sector-specific,supervise housekeeping operations,"coordinate housekeeping duties
supervise housekeepers' duties
oversee housekeeping operations
supervise operations of housekeeping",,released,2023-11-30T15:00:11.078Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Oversee the day-to-day service and cleaning of rooms and public areas to ensure continuous operations.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00f2eee1-cd4d-4a45-ae10-b6060f53ad5d,skill/competence,cross-sector,act as contact person during equipment incident,"take responsibility as a contact person during incident
be the contact person during equipment incident
be the contact person during investigation
play the role of a contact person during investigation
engage as a contact person during investigation
play the role of contact person during equipment damage",,released,2023-11-28T16:56:44.753Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Act as the person to be contacted when an equipment incident occurs. Participate in the investigation by providing insights.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00fc7575-0cee-4b12-ade5-795cb2a4479a,skill/competence,sector-specific,manage time in landscaping,"landscaping scheduling
scheduling landscaping
schedule landscaping
landscaping time managing
time managing in landscaping",,released,2023-11-30T15:51:59.501Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Plan and implement work schedules to fit in landscaping activities, which include the briefing phase where the landscape project is discussed with a client after which follow a series of sketches, plans and designs."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00ff06cc-103f-4c85-b5df-6f75acff6abf,skill/competence,sector-specific,advise on customs regulations,"advise customers
counsel on trade regulations
advise customers on tariff systems
counsel on custom-related topics
guide on import and export regulations",,released,2024-02-29T17:03:42.447Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Give information to people regarding import and export restrictions, tariff systems and other custom-related topics."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/011711eb-f20b-4d64-84d7-17b8979946dc,skill/competence,occupation-specific,manage university department,"manages university department
managing university department
coordinate university department
supervise university department
oversee university department",,released,2023-11-30T15:44:58.324Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Supervise and assess the university support practices, students' well-being, and teachers' performance."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0121ac3b-775b-4faf-b86d-0078623674bc,skill/competence,sector-specific,develop terminology databases,"define terminology databases prepare terminology databases
draw up terminology databases
populate terminology databases
write terminology databases
compile terminology databases",,released,2023-11-30T16:48:35.884Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Collect and submit terms after verifying their legitimacy in order to build up terminology databases on an array of domains.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/012795fe-5f85-4d12-a10e-9dabda4ea05f,skill/competence,occupation-specific,repair electric bicycles,"repair electric bikes
repair bicycles
fix electric bikes
repair electric bicycle
fix electric bicycles",,released,2023-11-30T15:05:03.04Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Inspect the functioning of the electrical components, wiring, and fuses. Check for damage and malfunctions and determine the cause. Dismantle and repair bicycle components, such as add-on drives, switching systems, power supply systems and lightning systems. Adjust mechanical and electronic switchgear, drives, brake systems and chassis components. Check the bicycle's operating fluids and see if it needs refills or changes."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/012d6406-016a-4790-aeb8-853e61058517,skill/competence,sector-specific,maintain sorting equipment,"sorting equipment maintaining
repairing sorting equipment
repair sorting equipment
maintaining of sorting equipment
sorting equipment repairing",,released,2025-07-25T08:55:01.796Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/green,
http://data.europa.eu/esco/concept-scheme/member-skills",Perform routine maintenance as well as minor repairs on the equipment used for sorting waste and recyclable materials.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/012f9ad1-b95b-42f1-b2c7-3793cdbce443,skill/competence,sector-specific,explain features in accommodation venue,"explain accommodation venue features
brief guests on room facilities
explain features in guest room
explain accommodation features at venue",,released,2023-11-28T11:05:09.788Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Clarify guests' accommodation facilities and demonstrate and show how to use them.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0132ac4f-ffac-4396-8b56-052fde0c9d73,knowledge,sector-specific,types of barley,"categories of barley
kinds of barley
strains of barley
varieties of barley
barley types",,released,2023-11-30T14:57:44.02Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","The different types of barley; their characteristics, and quality."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/013441c1-1f13-47e9-80c4-9a53e8e1bc05,knowledge,sector-specific,KDevelop,"kdevplatform
KDevelop platform","KDevelop 4.7.0
KDevelop 4.6.0
KDevelop 5.0.0
KDevelop 4.0.0",released,2023-06-08T15:25:12.058Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The computer program KDevelop is a suite of software development tools for writing programs, such as compiler, debugger, code editor, code highlights, packaged in a unified user interface. It is developed by the software community KDE."
