Work Context,Work Context Description,Response 1 Percentage,Response 1 Description,Response 2 Percentage,Response 2 Description,Response 3 Percentage,Response 3 Description,Response 4 Percentage,Response 4 Description,Response 5 Percentage,Response 5 Description
Exposed to Hazardous Conditions,How often does this job require exposure to hazardous conditions?,11,Once a month or more but not every week,15,Once a year or more but not every month,74,Never,,,,
"Wear Specialized Protective or Safety Equipment such as Breathing Apparatus, Safety Harness, Full Protection Suits, or Radiation Protection","How often does this job require wearing specialized protective or safety equipment such as breathing apparatus, safety harness, full protection suits, or radiation protection?",15,Once a year or more but not every month,78,Never,,,,,,
Spend Time Bending or Twisting Your Body,How much does this job require bending or twisting your body?,22,Less than half the time,74,Never,,,,,,
"Spend Time Kneeling, Crouching, Stooping, or Crawling","How much does this job require kneeling, crouching, stooping or crawling?",19,Less than half the time,78,Never,,,,,,
In an Open Vehicle or Operating Equipment,How often does this job require working in an open vehicle or operating equipment (like a tractor)?,11,Once a year or more but not every month,81,Never,,,,,,
Spend Time Keeping or Regaining Balance,How much does this job require keeping or regaining your balance?,11,Less than half the time,85,Never,,,,,,
Dealing with Violent or Physically Aggressive People,How frequently does this job require the worker to deal with physical aggression of violent individuals?,19,Once a year or more but not every month,81,Never,,,,,,
Exposed to Whole Body Vibration,How often does this job require exposure to whole body vibration (like operating a jackhammer or earth moving equipment)?,93,Never,,,,,,,,
Pace Determined by Speed of Equipment,How important is it to this job that the pace is determined by the speed of equipment or machinery? (This does not refer to keeping busy at all times on this job.),93,Not important at all,,,,,,,,
Exposed to Radiation,How often does this job require exposure to radiation?,96,Never,,,,,,,,
Work Schedules,How regular are the work schedules for this job?,92,"Regular (established routine, set schedule)",,,,,,,,
Exposed to Disease or Infections,How often does this job require exposure to disease/infections?,96,Never,,,,,,,,
