career_id,experience_text,experience_text_vi,degree_text,degree_text_vi,salary_min_en,salary_max_en,salary_avg_en,salary_currency_en,salary_bands_en,salary_min,salary_max,salary_avg,salary_currency,salary_bands,updated_at
1,"Extensive skill, knowledge, and experience needed. Typically requires more than 5 years of specialized experience in leadership roles.","Cần kỹ năng, kiến thức và kinh nghiệm sâu rộng. Thường yêu cầu hơn 5 năm kinh nghiệm chuyên môn trong vai trò lãnh đạo.","Master''s degree required. Some positions may require Ph.D., M.D., or J.D. (law degree).","Yêu cầu bằng thạc sĩ. Một số vị trí có thể yêu cầu bằng tiến sĩ, bác sĩ y khoa hoặc luật sư.",60655.00,120956.00,90805.00,USD,"[{""max"""": 78526.89"," '""min'"": 60655.0"," '""label'"": '""Intern Level'""}"," {'""max'"": 87105.84"," '""min'"": 78526.89"," """"label"""": """"Associate Level""""}"," {'""max'"": 105622.42"," '""min'"": 87105.84"," '""label'"": '""Manager Level'""}"," {'""max'"": 120030.05"," '""min'"": 105622.42"," '""label'"": '""Manager Level'""}"," {'""max'"": 120956.0"," '""min'"": 120030.05"," '""label'"": '""Executive Level'""}]""",1455720000.00,2902944000.00,2179320000.00,VND,"[{'max'"": 1884645438"," '""min'"": 1455720000"," '""label'"": '""Cấp thực tập sinh'""}"," {'""max'"": 2090540106"," '""min'"": 1884645438"," '""label'"": '""Cấp nhân viên'""}"," {'""max'"": 2534938186"," '""min'"": 2090540106"," '""label'"": '""Cấp quản lý'""}"," {'""max'"": 2880721212"," '""min'"": 2534938186"," '""label'"": '""Cấp quản lý cao cấp'""}"," {'""max'"": 2902944000"," '""min'"": 2880721212"," '""label'"": '""Cấp điều hành'""}]""",2026-01-27 15:44:54.424881+00
56,"Extensive skill, knowledge, and experience needed. Typically requires more than 5 years of specialized experience in leadership roles.","Cần kỹ năng, kiến thức và kinh nghiệm sâu rộng. Thường yêu cầu hơn 5 năm kinh nghiệm chuyên môn trong vai trò lãnh đạo.","Master''s degree required. Some positions may require Ph.D., M.D., or J.D. (law degree).","Yêu cầu bằng thạc sĩ. Một số vị trí có thể yêu cầu bằng tiến sĩ, bác sĩ y khoa hoặc luật sư.",78857.00,120855.00,99856.00,USD,"[{""max"""": 90495.02"," '""min'"": 78857.0"," '""label'"": '""Intern Level'""}"," {'""max'"": 98767.86"," '""min'"": 90495.02"," """"label"""": """"Associate Level""""}"," {'""max'"": 106172.69"," '""min'"": 98767.86"," '""label'"": '""Manager Level'""}"," {'""max'"": 118007.03"," '""min'"": 106172.69"," '""label'"": '""Manager Level'""}"," {'""max'"": 120855.0"," '""min'"": 118007.03"," '""label'"": '""Executive Level'""}]""",1892568000.00,2900520000.00,2396544000.00,VND,"[{'max'"": 2171880592"," '""min'"": 1892568000"," '""label'"": '""Cấp thực tập sinh'""}"," {'""max'"": 2370428549"," '""min'"": 2171880592"," '""label'"": '""Cấp nhân viên'""}"," {'""max'"": 2548144533"," '""min'"": 2370428549"," '""label'"": '""Cấp quản lý'""}"," {'""max'"": 2832168644"," '""min'"": 2548144533"," '""label'"": '""Cấp quản lý cao cấp'""}"," {'""max'"": 2900520000"," '""min'"": 2832168644"," '""label'"": '""Cấp điều hành'""}]""",2026-01-27 15:44:54.424881+00
57,"Extensive skill, knowledge, and experience needed. Typically requires more than 5 years of specialized experience in leadership roles.","Cần kỹ năng, kiến thức và kinh nghiệm sâu rộng. Thường yêu cầu hơn 5 năm kinh nghiệm chuyên môn trong vai trò lãnh đạo.","Master''s degree required. Some positions may require Ph.D., M.D., or J.D. (law degree).","Yêu cầu bằng thạc sĩ. Một số vị trí có thể yêu cầu bằng tiến sĩ, bác sĩ y khoa hoặc luật sư.",56735.00,184818.00,120776.00,USD,"[{""max"""": 94704.64"," '""min'"": 56735.0"," '""label'"": '""Intern Level'""}"," {'""max'"": 117125.06"," '""min'"": 94704.64"," """"label"""": """"Associate Level""""}"," {'""max'"": 144990.59"," '""min'"": 117125.06"," '""label'"": '""Manager Level'""}"," {'""max'"": 172328.03"," '""min'"": 144990.59"," '""label'"": '""Manager Level'""}"," {'""max'"": 184818.0"," '""min'"": 172328.03"," '""label'"": '""Executive Level'""}]""",1361640000.00,4435632000.00,2898624000.00,VND,"[{'max'"": 2272911303"," '""min'"": 1361640000"," '""label'"": '""Cấp thực tập sinh'""}"," {'""max'"": 2811001438"," '""min'"": 2272911303"," '""label'"": '""Cấp nhân viên'""}"," {'""max'"": 3479774269"," '""min'"": 2811001438"," '""label'"": '""Cấp quản lý'""}"," {'""max'"": 4135872712"," '""min'"": 3479774269"," '""label'"": '""Cấp quản lý cao cấp'""}"," {'""max'"": 4435632000"," '""min'"": 4135872712"," '""label'"": '""Cấp điều hành'""}]""",2026-01-27 15:44:54.424881+00
58,"Extensive skill, knowledge, and experience needed. Typically requires more than 5 years of specialized experience in leadership roles.","Cần kỹ năng, kiến thức và kinh nghiệm sâu rộng. Thường yêu cầu hơn 5 năm kinh nghiệm chuyên môn trong vai trò lãnh đạo.","Master''s degree required. Some positions may require Ph.D., M.D., or J.D. (law degree).","Yêu cầu bằng thạc sĩ. Một số vị trí có thể yêu cầu bằng tiến sĩ, bác sĩ y khoa hoặc luật sư.",79946.00,147457.00,113701.00,USD,"[{""max"""": 103309.17"," '""min'"": 79946.0"," '""label'"": '""Intern Level'""}"," {'""max'"": 108066.39"," '""min'"": 103309.17"," """"label"""": """"Associate Level""""}"," {'""max'"": 124127.83"," '""min'"": 108066.39"," '""label'"": '""Manager Level'""}"," {'""max'"": 141953.29"," '""min'"": 124127.83"," '""label'"": '""Manager Level'""}"," {'""max'"": 147457.0"," '""min'"": 141953.29"," '""label'"": '""Executive Level'""}]""",1918704000.00,3538968000.00,2728824000.00,VND,"[{'max'"": 2479420169"," '""min'"": 1918704000"," '""label'"": '""Cấp thực tập sinh'""}"," {'""max'"": 2593593280"," '""min'"": 2479420169"," '""label'"": '""Cấp nhân viên'""}"," {'""max'"": 2979067847"," '""min'"": 2593593280"," '""label'"": '""Cấp quản lý'""}"," {'""max'"": 3406879018"," '""min'"": 2979067847"," '""label'"": '""Cấp quản lý cao cấp'""}"," {'""max'"": 3538968000"," '""min'"": 3406879018"," '""label'"": '""Cấp điều hành'""}]""",2026-01-27 15:44:54.424881+00
59,Considerable preparation needed. Usually requires 2-4 years of related work experience.,Considerable preparation needed. Usually requires 2-4 years of related work experience.,Bachelor's degree required. Master's degree preferred for senior positions.,Bachelor's degree required. Master's degree preferred for senior positions.,66451.00,184975.00,125713.00,USD,"[{""max"""": 102770.73"," '""min'"": 66451.0"," '""label'"": '""Entry Level'""}"," {'""max'"": 133469.04"," '""min'"": 102770.73"," """"label"""": """"Mid Level""""}"," {'""max'"": 171755.62"," '""min'"": 133469.04"," '""label'"": '""Senior Level'""}"," {'""max'"": 184975.0"," '""min'"": 171755.62"," '""label'"": '""Lead Level'""}]""",1594824000.00,4439400000.00,3017112000.00,VND,"[{'max'"": 2466497523"," '""min'"": 1594824000"," '""label'"": '""Cấp mới vào nghề'""}"," {'""max'"": 3203256923"," '""min'"": 2466497523"," '""label'"": '""Cấp trung cấp'""}"," {'""max'"": 4122134963"," '""min'"": 3203256923"," '""label'"": '""Cấp cao cấp'""}"," {'""max'"": 4439400000"," '""min'"": 4122134963"," '""label'"": '""Lead Level'""}]""",2026-01-27 15:44:54.424881+00
60,Considerable preparation needed. Usually requires 2-4 years of related work experience.,Considerable preparation needed. Usually requires 2-4 years of related work experience.,Bachelor's degree required. Master's degree preferred for senior positions.,Bachelor's degree required. Master's degree preferred for senior positions.,74000.00,147618.00,110809.00,USD,"[{""max"""": 95889.72"," '""min'"": 74000.0"," '""label'"": '""Entry Level'""}"," {'""max'"": 111696.5"," '""min'"": 95889.72"," """"label"""": """"Mid Level""""}"," {'""max'"": 138643.05"," '""min'"": 111696.5"," '""label'"": '""Senior Level'""}"," {'""max'"": 147618.0"," '""min'"": 138643.05"," '""label'"": '""Lead Level'""}]""",1776000000.00,3542832000.00,2659416000.00,VND,"[{'max'"": 2301353248"," '""min'"": 1776000000"," '""label'"": '""Cấp mới vào nghề'""}"," {'""max'"": 2680716059"," '""min'"": 2301353248"," '""label'"": '""Cấp trung cấp'""}"," {'""max'"": 3327433081"," '""min'"": 2680716059"," '""label'"": '""Cấp cao cấp'""}"," {'""max'"": 3542832000"," '""min'"": 3327433081"," '""label'"": '""Lead Level'""}]""",2026-01-27 15:44:54.424881+00
61,Considerable preparation needed. Usually requires 2-4 years of related work experience.,Considerable preparation needed. Usually requires 2-4 years of related work experience.,Bachelor's degree required. Master's degree preferred for senior positions.,Bachelor's degree required. Master's degree preferred for senior positions.,56293.00,197933.00,127113.00,USD,"[{""max"""": 97544.64"," '""min'"": 56293.0"," '""label'"": '""Entry Level'""}"," {'""max'"": 134399.3"," '""min'"": 97544.64"," """"label"""": """"Mid Level""""}"," {'""max'"": 177761.37"," '""min'"": 134399.3"," '""label'"": '""Senior Level'""}"," {'""max'"": 197933.0"," '""min'"": 177761.37"," '""label'"": '""Lead Level'""}]""",1351032000.00,4750392000.00,3050712000.00,VND,"[{'max'"": 2341071360"," '""min'"": 1351032000"," '""label'"": '""Cấp mới vào nghề'""}"," {'""max'"": 3225583300"," '""min'"": 2341071360"," '""label'"": '""Cấp trung cấp'""}"," {'""max'"": 4266272802"," '""min'"": 3225583300"," '""label'"": '""Cấp cao cấp'""}"," {'""max'"": 4750392000"," '""min'"": 4266272802"," '""label'"": '""Lead Level'""}]""",2026-01-27 15:44:54.424881+00
62,Considerable preparation needed. Usually requires 2-4 years of related work experience.,Considerable preparation needed. Usually requires 2-4 years of related work experience.,Bachelor's degree required. Master's degree preferred for senior positions.,Bachelor's degree required. Master's degree preferred for senior positions.,70258.00,158493.00,114375.00,USD,"[{""max"""": 97747.45"," '""min'"": 70258.0"," '""label'"": '""Entry Level'""}"," {'""max'"": 119520.33"," '""min'"": 97747.45"," """"label"""": """"Mid Level""""}"," {'""max'"": 144548.98"," '""min'"": 119520.33"," '""label'"": '""Senior Level'""}"," {'""max'"": 158493.0"," '""min'"": 144548.98"," '""label'"": '""Lead Level'""}]""",1686192000.00,3803832000.00,2745000000.00,VND,"[{'max'"": 2345938785"," '""min'"": 1686192000"," '""label'"": '""Cấp mới vào nghề'""}"," {'""max'"": 2868488027"," '""min'"": 2345938785"," '""label'"": '""Cấp trung cấp'""}"," {'""max'"": 3469175616"," '""min'"": 2868488027"," '""label'"": '""Cấp cao cấp'""}"," {'""max'"": 3803832000"," '""min'"": 3469175616"," '""label'"": '""Lead Level'""}]""",2026-01-27 15:44:54.424881+00
63,Considerable preparation needed. Usually requires 2-4 years of related work experience.,Considerable preparation needed. Usually requires 2-4 years of related work experience.,Bachelor's degree required. Master's degree preferred for senior positions.,Bachelor's degree required. Master's degree preferred for senior positions.,52609.00,158532.00,105570.00,USD,"[{""max"""": 82699.63"," '""min'"": 52609.0"," '""label'"": '""Entry Level'""}"," {'""max'"": 112692.04"," '""min'"": 82699.63"," """"label"""": """"Mid Level""""}"," {'""max'"": 144813.94"," '""min'"": 112692.04"," '""label'"": '""Senior Level'""}"," {'""max'"": 158532.0"," '""min'"": 144813.94"," '""label'"": '""Lead Level'""}]""",1262616000.00,3804768000.00,2533680000.00,VND,"[{'max'"": 1984791125"," '""min'"": 1262616000"," '""label'"": '""Cấp mới vào nghề'""}"," {'""max'"": 2704608998"," '""min'"": 1984791125"," '""label'"": '""Cấp trung cấp'""}"," {'""max'"": 3475534616"," '""min'"": 2704608998"," '""label'"": '""Cấp cao cấp'""}"," {'""max'"": 3804768000"," '""min'"": 3475534616"," '""label'"": '""Lead Level'""}]""",2026-01-27 15:44:54.424881+00
64,Considerable preparation needed. Usually requires 2-4 years of related work experience.,Considerable preparation needed. Usually requires 2-4 years of related work experience.,Bachelor's degree required. Master's degree preferred for senior positions.,Bachelor's degree required. Master's degree preferred for senior positions.,53463.00,100151.00,76807.00,USD,"[{""max"""": 67070.95"," '""min'"": 53463.0"," '""label'"": '""Entry Level'""}"," {'""max'"": 78518.35"," '""min'"": 67070.95"," """"label"""": """"Mid Level""""}"," {'""max'"": 91707.76"," '""min'"": 78518.35"," '""label'"": '""Senior Level'""}"," {'""max'"": 100151.0"," '""min'"": 91707.76"," '""label'"": '""Lead Level'""}]""",1283112000.00,2403624000.00,1843368000.00,VND,"[{'max'"": 1609702759"," '""min'"": 1283112000"," '""label'"": '""Cấp mới vào nghề'""}"," {'""max'"": 1884440354"," '""min'"": 1609702759"," '""label'"": '""Cấp trung cấp'""}"," {'""max'"": 2200986243"," '""min'"": 1884440354"," '""label'"": '""Cấp cao cấp'""}"," {'""max'"": 2403624000"," '""min'"": 2200986243"," '""label'"": '""Lead Level'""}]""",2026-01-27 15:44:54.424881+00
65,Considerable preparation needed. Usually requires 2-4 years of related work experience.,Considerable preparation needed. Usually requires 2-4 years of related work experience.,Bachelor's degree required. Master's degree preferred for senior positions.,Bachelor's degree required. Master's degree preferred for senior positions.,64021.00,134073.00,99047.00,USD,"[{""max"""": 81792.55"," '""min'"": 64021.0"," '""label'"": '""Entry Level'""}"," {'""max'"": 101669.17"," '""min'"": 81792.55"," """"label"""": """"Mid Level""""}"," {'""max'"": 121384.89"," '""min'"": 101669.17"," '""label'"": '""Senior Level'""}"," {'""max'"": 134073.0"," '""min'"": 121384.89"," '""label'"": '""Lead Level'""}]""",1536504000.00,3217752000.00,2377128000.00,VND,"[{'max'"": 1963021094"," '""min'"": 1536504000"," '""label'"": '""Cấp mới vào nghề'""}"," {'""max'"": 2440060136"," '""min'"": 1963021094"," '""label'"": '""Cấp trung cấp'""}"," {'""max'"": 2913237399"," '""min'"": 2440060136"," '""label'"": '""Cấp cao cấp'""}"," {'""max'"": 3217752000"," '""min'"": 2913237399"," '""label'"": '""Lead Level'""}]""",2026-01-27 15:44:54.424881+00
66,Considerable preparation needed. Usually requires 2-4 years of related work experience.,Considerable preparation needed. Usually requires 2-4 years of related work experience.,Bachelor's degree required. Master's degree preferred for senior positions.,Bachelor's degree required. Master's degree preferred for senior positions.,50689.00,167087.00,108888.00,USD,"[{""max"""": 91354.31"," '""min'"": 50689.0"," '""label'"": '""Entry Level'""}"," {'""max'"": 117031.11"," '""min'"": 91354.31"," """"label"""": """"Mid Level""""}"," {'""max'"": 154509.56"," '""min'"": 117031.11"," '""label'"": '""Senior Level'""}"," {'""max'"": 167087.0"," '""min'"": 154509.56"," '""label'"": '""Lead Level'""}]""",1216536000.00,4010088000.00,2613312000.00,VND,"[{'max'"": 2192503496"," '""min'"": 1216536000"," '""label'"": '""Cấp mới vào nghề'""}"," {'""max'"": 2808746553"," '""min'"": 2192503496"," '""label'"": '""Cấp trung cấp'""}"," {'""max'"": 3708229344"," '""min'"": 2808746553"," '""label'"": '""Cấp cao cấp'""}"," {'""max'"": 4010088000"," '""min'"": 3708229344"," '""label'"": '""Lead Level'""}]""",2026-01-27 15:44:54.424881+00
67,Considerable preparation needed. Usually requires 2-4 years of related work experience.,Considerable preparation needed. Usually requires 2-4 years of related work experience.,Bachelor's degree required. Master's degree preferred for senior positions.,Bachelor's degree required. Master's degree preferred for senior positions.,68187.00,123055.00,95621.00,USD,"[{""max"""": 85854.68"," '""min'"": 68187.0"," '""label'"": '""Entry Level'""}"," {'""max'"": 97262.09"," '""min'"": 85854.68"," """"label"""": """"Mid Level""""}"," {'""max'"": 118233.44"," '""min'"": 97262.09"," '""label'"": '""Senior Level'""}"," {'""max'"": 123055.0"," '""min'"": 118233.44"," '""label'"": '""Lead Level'""}]""",1636488000.00,2953320000.00,2294904000.00,VND,"[{'max'"": 2060512351"," '""min'"": 1636488000"," '""label'"": '""Cấp mới vào nghề'""}"," {'""max'"": 2334290087"," '""min'"": 2060512351"," '""label'"": '""Cấp trung cấp'""}"," {'""max'"": 2837602517"," '""min'"": 2334290087"," '""label'"": '""Cấp cao cấp'""}"," {'""max'"": 2953320000"," '""min'"": 2837602517"," '""label'"": '""Lead Level'""}]""",2026-01-27 15:44:54.424881+00
68,Considerable preparation needed. Usually requires 2-4 years of related work experience.,Considerable preparation needed. Usually requires 2-4 years of related work experience.,Bachelor's degree required. Master's degree preferred for senior positions.,Bachelor's degree required. Master's degree preferred for senior positions.,71552.00,176111.00,123831.00,USD,"[{""max"""": 106095.37"," '""min'"": 71552.0"," '""label'"": '""Entry Level'""}"," {'""max'"": 132066.47"," '""min'"": 106095.37"," """"label"""": """"Mid Level""""}"," {'""max'"": 166435.87"," '""min'"": 132066.47"," '""label'"": '""Senior Level'""}"," {'""max'"": 176111.0"," '""min'"": 166435.87"," '""label'"": '""Lead Level'""}]""",1717248000.00,4226664000.00,2971944000.00,VND,"[{'max'"": 2546288981"," '""min'"": 1717248000"," '""label'"": '""Cấp mới vào nghề'""}"," {'""max'"": 3169595196"," '""min'"": 2546288981"," '""label'"": '""Cấp trung cấp'""}"," {'""max'"": 3994460838"," '""min'"": 3169595196"," '""label'"": '""Cấp cao cấp'""}"," {'""max'"": 4226664000"," '""min'"": 3994460838"," '""label'"": '""Lead Level'""}]""",2026-01-27 15:44:54.424881+00
69,Considerable preparation needed. Usually requires 2-4 years of related work experience.,Considerable preparation needed. Usually requires 2-4 years of related work experience.,Bachelor's degree required. Master's degree preferred for senior positions.,Bachelor's degree required. Master's degree preferred for senior positions.,68446.00,196386.00,132416.00,USD,"[{""max"""": 101664.88"," '""min'"": 68446.0"," '""label'"": '""Entry Level'""}"," {'""max'"": 138987.94"," '""min'"": 101664.88"," """"label"""": """"Mid Level""""}"," {'""max'"": 181882.22"," '""min'"": 138987.94"," '""label'"": '""Senior Level'""}"," {'""max'"": 196386.0"," '""min'"": 181882.22"," '""label'"": '""Lead Level'""}]""",1642704000.00,4713264000.00,3177984000.00,VND,"[{'max'"": 2439957148"," '""min'"": 1642704000"," '""label'"": '""Cấp mới vào nghề'""}"," {'""max'"": 3335710451"," '""min'"": 2439957148"," '""label'"": '""Cấp trung cấp'""}"," {'""max'"": 4365173252"," '""min'"": 3335710451"," '""label'"": '""Cấp cao cấp'""}"," {'""max'"": 4713264000"," '""min'"": 4365173252"," '""label'"": '""Lead Level'""}]""",2026-01-27 15:44:54.424881+00
70,Considerable preparation needed. Usually requires 2-4 years of related work experience.,Considerable preparation needed. Usually requires 2-4 years of related work experience.,Bachelor's degree required. Master's degree preferred for senior positions.,Bachelor's degree required. Master's degree preferred for senior positions.,78221.00,177373.00,127797.00,USD,"[{""max"""": 106160.81"," '""min'"": 78221.0"," '""label'"": '""Entry Level'""}"," {'""max'"": 134537.96"," '""min'"": 106160.81"," """"label"""": """"Mid Level""""}"," {'""max'"": 162410.88"," '""min'"": 134537.96"," '""label'"": '""Senior Level'""}"," {'""max'"": 177373.0"," '""min'"": 162410.88"," '""label'"": '""Lead Level'""}]""",1877304000.00,4256952000.00,3067128000.00,VND,"[{'max'"": 2547859354"," '""min'"": 1877304000"," '""label'"": '""Cấp mới vào nghề'""}"," {'""max'"": 3228911103"," '""min'"": 2547859354"," '""label'"": '""Cấp trung cấp'""}"," {'""max'"": 3897861090"," '""min'"": 3228911103"," '""label'"": '""Cấp cao cấp'""}"," {'""max'"": 4256952000"," '""min'"": 3897861090"," '""label'"": '""Lead Level'""}]""",2026-01-27 15:44:54.424881+00
71,Considerable preparation needed. Usually requires 2-4 years of related work experience.,Considerable preparation needed. Usually requires 2-4 years of related work experience.,Bachelor's degree required. Master's degree preferred for senior positions.,Bachelor's degree required. Master's degree preferred for senior positions.,65509.00,136906.00,101207.00,USD,"[{""max"""": 86355.1"," '""min'"": 65509.0"," '""label'"": '""Entry Level'""}"," {'""max'"": 106901.84"," '""min'"": 86355.1"," """"label"""": """"Mid Level""""}"," {'""max'"": 124511.02"," '""min'"": 106901.84"," '""label'"": '""Senior Level'""}"," {'""max'"": 136906.0"," '""min'"": 124511.02"," '""label'"": '""Lead Level'""}]""",1572216000.00,3285744000.00,2428968000.00,VND,"[{'max'"": 2072522362"," '""min'"": 1572216000"," '""label'"": '""Cấp mới vào nghề'""}"," {'""max'"": 2565644040"," '""min'"": 2072522362"," '""label'"": '""Cấp trung cấp'""}"," {'""max'"": 2988264592"," '""min'"": 2565644040"," '""label'"": '""Cấp cao cấp'""}"," {'""max'"": 3285744000"," '""min'"": 2988264592"," '""label'"": '""Lead Level'""}]""",2026-01-27 15:44:54.424881+00
72,Considerable preparation needed. Usually requires 2-4 years of related work experience.,Considerable preparation needed. Usually requires 2-4 years of related work experience.,Bachelor's degree required. Master's degree preferred for senior positions.,Bachelor's degree required. Master's degree preferred for senior positions.,61683.00,190641.00,126162.00,USD,"[{""max"""": 99827.89"," '""min'"": 61683.0"," '""label'"": '""Entry Level'""}"," {'""max'"": 124063.56"," '""min'"": 99827.89"," """"label"""": """"Mid Level""""}"," {'""max'"": 178069.02"," '""min'"": 124063.56"," '""label'"": '""Senior Level'""}"," {'""max'"": 190641.0"," '""min'"": 178069.02"," '""label'"": '""Lead Level'""}]""",1480392000.00,4575384000.00,3027888000.00,VND,"[{'max'"": 2395869347"," '""min'"": 1480392000"," '""label'"": '""Cấp mới vào nghề'""}"," {'""max'"": 2977525414"," '""min'"": 2395869347"," '""label'"": '""Cấp trung cấp'""}"," {'""max'"": 4273656567"," '""min'"": 2977525414"," '""label'"": '""Cấp cao cấp'""}"," {'""max'"": 4575384000"," '""min'"": 4273656567"," '""label'"": '""Lead Level'""}]""",2026-01-27 15:44:54.424881+00
73,Considerable preparation needed. Usually requires 2-4 years of related work experience.,Considerable preparation needed. Usually requires 2-4 years of related work experience.,Bachelor's degree required. Master's degree preferred for senior positions.,Bachelor's degree required. Master's degree preferred for senior positions.,64439.00,135187.00,99813.00,USD,"[{""max"""": 85456.19"," '""min'"": 64439.0"," '""label'"": '""Entry Level'""}"," {'""max'"": 100077.19"," '""min'"": 85456.19"," """"label"""": """"Mid Level""""}"," {'""max'"": 125551.77"," '""min'"": 100077.19"," '""label'"": '""Senior Level'""}"," {'""max'"": 135187.0"," '""min'"": 125551.77"," '""label'"": '""Lead Level'""}]""",1546536000.00,3244488000.00,2395512000.00,VND,"[{'max'"": 2050948479"," '""min'"": 1546536000"," '""label'"": '""Cấp mới vào nghề'""}"," {'""max'"": 2401852667"," '""min'"": 2050948479"," '""label'"": '""Cấp trung cấp'""}"," {'""max'"": 3013242383"," '""min'"": 2401852667"," '""label'"": '""Cấp cao cấp'""}"," {'""max'"": 3244488000"," '""min'"": 3013242383"," '""label'"": '""Lead Level'""}]""",2026-01-27 15:44:54.424881+00
74,Considerable preparation needed. Usually requires 2-4 years of related work experience.,Considerable preparation needed. Usually requires 2-4 years of related work experience.,Bachelor's degree required. Master's degree preferred for senior positions.,Bachelor's degree required. Master's degree preferred for senior positions.,74736.00,173184.00,123960.00,USD,"[{""max"""": 107399.48"," '""min'"": 74736.0"," '""label'"": '""Entry Level'""}"," {'""max'"": 126254.05"," '""min'"": 107399.48"," """"label"""": """"Mid Level""""}"," {'""max'"": 156758.2"," '""min'"": 126254.05"," '""label'"": '""Senior Level'""}"," {'""max'"": 173184.0"," '""min'"": 156758.2"," '""label'"": '""Lead Level'""}]""",1793664000.00,4156416000.00,2975040000.00,VND,"[{'max'"": 2577587579"," '""min'"": 1793664000"," '""label'"": '""Cấp mới vào nghề'""}"," {'""max'"": 3030097129"," '""min'"": 2577587579"," '""label'"": '""Cấp trung cấp'""}"," {'""max'"": 3762196906"," '""min'"": 3030097129"," '""label'"": '""Cấp cao cấp'""}"," {'""max'"": 4156416000"," '""min'"": 3762196906"," '""label'"": '""Lead Level'""}]""",2026-01-27 15:44:54.424881+00
75,Considerable preparation needed. Usually requires 2-4 years of related work experience.,Considerable preparation needed. Usually requires 2-4 years of related work experience.,Bachelor's degree required. Master's degree preferred for senior positions.,Bachelor's degree required. Master's degree preferred for senior positions.,44760.00,166687.00,105723.00,USD,"[{""max"""": 79223.98"," '""min'"": 44760.0"," '""label'"": '""Entry Level'""}"," {'""max'"": 104434.63"," '""min'"": 79223.98"," """"label"""": """"Mid Level""""}"," {'""max'"": 144642.15"," '""min'"": 104434.63"," '""label'"": '""Senior Level'""}"," {'""max'"": 166687.0"," '""min'"": 144642.15"," '""label'"": '""Lead Level'""}]""",1074240000.00,4000488000.00,2537352000.00,VND,"[{'max'"": 1901375565"," '""min'"": 1074240000"," '""label'"": '""Cấp mới vào nghề'""}"," {'""max'"": 2506431212"," '""min'"": 1901375565"," '""label'"": '""Cấp trung cấp'""}"," {'""max'"": 3471411690"," '""min'"": 2506431212"," '""label'"": '""Cấp cao cấp'""}"," {'""max'"": 4000488000"," '""min'"": 3471411690"," '""label'"": '""Lead Level'""}]""",2026-01-27 15:44:54.424881+00
76,Considerable preparation needed. Usually requires 2-4 years of related work experience.,Considerable preparation needed. Usually requires 2-4 years of related work experience.,Bachelor's degree required. Master's degree preferred for senior positions.,Bachelor's degree required. Master's degree preferred for senior positions.,79057.00,173601.00,126329.00,USD,"[{""max"""": 108603.43"," '""min'"": 79057.0"," '""label'"": '""Entry Level'""}"," {'""max'"": 131242.78"," '""min'"": 108603.43"," """"label"""": """"Mid Level""""}"," {'""max'"": 161881.28"," '""min'"": 131242.78"," '""label'"": '""Senior Level'""}"," {'""max'"": 173601.0"," '""min'"": 161881.28"," '""label'"": '""Lead Level'""}]""",1897368000.00,4166424000.00,3031896000.00,VND,"[{'max'"": 2606482395"," '""min'"": 1897368000"," '""label'"": '""Cấp mới vào nghề'""}"," {'""max'"": 3149826617"," '""min'"": 2606482395"," '""label'"": '""Cấp trung cấp'""}"," {'""max'"": 3885150817"," '""min'"": 3149826617"," '""label'"": '""Cấp cao cấp'""}"," {'""max'"": 4166424000"," '""min'"": 3885150817"," '""label'"": '""Lead Level'""}]""",2026-01-27 15:44:54.424881+00
77,Considerable preparation needed. Usually requires 2-4 years of related work experience.,Considerable preparation needed. Usually requires 2-4 years of related work experience.,Bachelor's degree required. Master's degree preferred for senior positions.,Bachelor's degree required. Master's degree preferred for senior positions.,72334.00,122223.00,97278.00,USD,"[{""max"""": 86986.63"," '""min'"": 72334.0"," '""label'"": '""Entry Level'""}"," {'""max'"": 100160.47"," '""min'"": 86986.63"," """"label"""": """"Mid Level""""}"," {'""max'"": 116732.34"," '""min'"": 100160.47"," '""label'"": '""Senior Level'""}"," {'""max'"": 122223.0"," '""min'"": 116732.34"," '""label'"": '""Lead Level'""}]""",1736016000.00,2933352000.00,2334672000.00,VND,"[{'max'"": 2087679037"," '""min'"": 1736016000"," '""label'"": '""Cấp mới vào nghề'""}"," {'""max'"": 2403851315"," '""min'"": 2087679037"," '""label'"": '""Cấp trung cấp'""}"," {'""max'"": 2801576126"," '""min'"": 2403851315"," '""label'"": '""Cấp cao cấp'""}"," {'""max'"": 2933352000"," '""min'"": 2801576126"," '""label'"": '""Lead Level'""}]""",2026-01-27 15:44:54.424881+00
